Frente,Verso
Qual é o princípio da Não-Repristinação adotado pela LINDB?,"A lei revogada NÃO se restaura por ter a lei revogadora perdido a vigência, salvo disposição em contrário."
"A lei nova, que estabeleça disposições gerais ou especiais a par das já existentes, revoga a lei anterior?",NÃO. Ela não revoga nem modifica a lei anterior.
O juiz pode eximir-se de decidir alegando lacuna ou obscuridade da lei (Princípio da Vedação ao Non Liquet)?,"NÃO. Quando a lei for omissa, o juiz decidirá o caso de acordo com a analogia, os costumes e os princípios gerais de direito."
Qual é a diferença entre Analogia e Interpretação Extensiva?,"Na Analogia, NÃO HÁ lei para o caso concreto (usa-se uma lei de caso semelhante). Na Interpretação Extensiva, HÁ lei, mas o legislador escreveu menos do que queria."
"Na aplicação da lei, o juiz deverá atender a quais dois parâmetros definidos no Art. 5º da LINDB?",Aos fins sociais a que ela se dirige e às exigências do bem comum.
A lei nova respeitará três garantias fundamentais. Quais são elas?,"O ato jurídico perfeito, o direito adquirido e a coisa julgada."
"Segundo a LINDB, o que é o 'Direito Adquirido'?","São os direitos que o seu titular, ou alguém por ele, possa exercer, bem como aqueles cujo começo do exercício tenha termo pré-fixo ou condição pré-estabelecida inalterável."
"Para determinar as regras sobre o começo e o fim da personalidade, o nome, a capacidade e os direitos de família, qual lei é aplicada?",A lei do país em que a pessoa for DOMICILIADA (Princípio da Lex Domicilii).
"Para qualificar e reger as OBRIGAÇÕES, qual lei será aplicada?",A lei do país em que se CONSTITUÍREM (Princípio da Lex Loci Celebrationis).
A sucessão por morte ou ausência obedece a qual lei?,"À lei do país em que DOMICILIADO o defunto ou o desaparecido, qualquer que seja a natureza e a situação dos bens."
"Na sucessão de bens de estrangeiros situados no Brasil, quando a lei estrangeira do 'de cujus' será aplicada?","Será aplicada a lei brasileira em benefício do cônjuge/filhos brasileiros, SALVO se a lei pessoal do estrangeiro for mais favorável a eles."
"As leis, atos e sentenças de outro país terão eficácia no Brasil se ofenderem a soberania nacional, a ordem pública ou os bons costumes?",NÃO. Não terão eficácia em nenhuma hipótese se ofenderem esses três pilares.
