Frente,Verso
Quais são os 5 princípios expressos da Administração Pública na CF/88 (LIMPE)?,"Legalidade, Impessoalidade, Moralidade, Publicidade e Eficiência."
"Os cargos, empregos e funções públicas são acessíveis aos brasileiros e aos estrangeiros?","Sim, aos brasileiros que preencham os requisitos em lei, e aos estrangeiros na forma da lei."
A investidura em cargo ou emprego público depende de quê?,Aprovação prévia em concurso público de provas ou de provas e títulos.
Qual é o prazo de validade do concurso público?,"Até 2 anos, prorrogável uma vez, por igual período."
Quem tem prioridade de convocação durante o prazo improrrogável do edital de concurso?,"O aprovado em concurso público de provas ou de provas e títulos, sobre novos concursados, para assumir cargo ou emprego na carreira."
As funções de confiança devem ser exercidas exclusivamente por quem?,Por servidores ocupantes de cargo efetivo.
Os cargos em comissão (livre nomeação e exoneração) destinam-se a quais atribuições?,"Apenas às atribuições de direção, chefia e assessoramento."
O servidor público civil tem direito à livre associação sindical?,"Sim, é garantido o direito à livre associação sindical."
O servidor público civil tem direito de greve?,"Sim, será exercido nos termos e nos limites definidos em lei específica."
A lei reservará percentual dos cargos e empregos públicos para qual grupo de pessoas?,Para as pessoas portadoras de deficiência (PCD).
Qual é a regra geral sobre a acumulação remunerada de cargos públicos?,É vedada (proibida).
Quais são as três exceções constitucionais onde é permitida a acumulação de cargos públicos (havendo compatibilidade de horários)?,1) Dois cargos de professor; 2) Um cargo de professor com outro técnico/científico; 3) Dois cargos privativos de profissionais de saúde.
A proibição de acumular cargos públicos estende-se a quais entidades da administração indireta?,"Estende-se a empregos e funções e abrange autarquias, fundações, empresas públicas, sociedades de economia mista e suas subsidiárias."
Somente por qual espécie normativa poderá ser criada autarquia e autorizada a instituição de empresa pública?,Somente por lei específica.
A criação de subsidiárias de empresas públicas e sociedades de economia mista depende de autorização legislativa?,"Sim, depende de autorização legislativa, em cada caso."
Os atos de improbidade administrativa importarão em quais punições (Mnemônico PIRIS)?,"Perda da função, Indisponibilidade de bens, Ressarcimento ao erário e Suspensão dos direitos políticos (não há perda de direitos políticos)."
A responsabilidade civil do Estado pelos danos que seus agentes causarem a terceiros é de que tipo?,Responsabilidade civil OBJETIVA (Teoria do Risco Administrativo).
"Na responsabilidade civil do Estado, o agente público que causou o dano responde de que forma perante o Estado?","Responde de forma SUBJETIVA, em caso de dolo ou culpa (Ação de Regresso)."
Servidor público eleito Prefeito: o que acontece com seu cargo e remuneração?,"Será afastado do cargo, emprego ou função, sendo-lhe facultado optar pela sua remuneração."
Servidor público eleito Vereador havendo compatibilidade de horários: o que acontece?,"Perceberá as vantagens de seu cargo, sem prejuízo da remuneração do cargo eletivo (acumula ambos)."
Servidor público eleito Vereador NÃO havendo compatibilidade de horários: o que acontece?,"Aplica-se a regra do Prefeito (afastado, podendo optar pela remuneração)."
São estáveis após quantos anos de efetivo exercício os servidores nomeados por concurso público?,Após 3 anos de efetivo exercício.
O servidor público estável só perderá o cargo em quais 3 situações previstas no Art. 41?,1) Sentença judicial transitada em julgado; 2) Processo administrativo (ampla defesa); 3) Procedimento de avaliação periódica de desempenho (ampla defesa).
Como se adquire a estabilidade no serviço público?,"Como condição para a aquisição da estabilidade, é obrigatória a avaliação especial de desempenho por comissão instituída para essa finalidade."
"Se a demissão do servidor estável for invalidada por sentença judicial, o que acontece com ele?","Ele será reintegrado, e o eventual ocupante da vaga será reconduzido (sem indenização), aproveitado ou posto em disponibilidade."
Os membros das Polícias Militares e Corpos de Bombeiros Militares são servidores públicos civis?,"Não, são militares dos Estados, do Distrito Federal e dos Territórios."
Ao militar são proibidas quais duas manifestações coletivas garantidas aos civis?,Sindicalização e greve.
"O militar, enquanto em serviço ativo, pode estar filiado a partido político?",Não. O militar da ativa não pode estar filiado a partidos políticos.
A segurança pública é dever de quem e responsabilidade de quem?,"Dever do Estado, direito e responsabilidade de todos."
Quais são os 6 órgãos exercem a segurança pública segundo o Art. 144?,"Polícia Federal (PF), PRF, Polícia Ferroviária Federal (PFF), Polícias Civis, Polícias Militares/CBM, Polícias Penais."
As Guardas Municipais fazem parte do rol dos órgãos de segurança pública do Art. 144?,"Não compõem o caput do Art. 144, mas os Municípios PODEM constituir guardas para proteção de seus bens, serviços e instalações."
"Qual órgão exerce, com exclusividade, as funções de polícia judiciária da União?",Polícia Federal.
"Qual órgão previne e reprime o tráfico de drogas, contrabando e descaminho sem prejuízo da ação fazendária e de outros órgãos?",Polícia Federal.
"Quem exerce as funções de polícia marítima, aeroportuária e de fronteiras?",Polícia Federal.
A qual polícia incumbe o patrulhamento ostensivo das rodovias federais?,Polícia Rodoviária Federal (PRF).
Às polícias civis incumbem quais funções?,Funções de polícia judiciária e apuração de infrações penais (ressalvada a competência da União).
Quais crimes as Polícias Civis NÃO podem apurar?,As infrações penais militares.
Quem dirige as polícias civis?,Delegados de polícia de carreira.
Às polícias militares cabem quais duas funções precípuas?,Polícia ostensiva e preservação da ordem pública.
"Aos corpos de bombeiros militares cabe, além de outras atribuições definidas em lei, a execução de qual atividade?",Atividades de defesa civil.
As polícias militares e corpos de bombeiros militares são forças auxiliares e reserva de quem?,Do Exército.
"A quem se subordinam as PMs, CBMs, Polícias Civis e Polícias Penais estaduais?","Subordinam-se aos Governadores dos Estados, do Distrito Federal e dos Territórios."
A quem incumbe a segurança dos estabelecimentos penais?,"Às polícias penais (federais, estaduais e distrital)."
Como ocorre o preenchimento do quadro de servidores das polícias penais?,Exclusivamente por meio de concurso público e por meio da transformação dos cargos isolados ou de carreira dos atuais agentes penitenciários.
