Frente,Verso
Para que serve o Present Continuous (ex: I am studying)?,Indica uma ação que está a acontecer neste exato momento ou uma situação temporária no presente.
Qual é a estrutura básica do Present Continuous?,Sujeito + verbo to be (am/is/are) + verbo principal com -ING.
Como identificar uma frase no Simple Past (Passado Simples) em verbos regulares?,"O verbo principal termina com o sufixo -ED. (Ex: worked, played)."
Qual é o verbo auxiliar usado em frases negativas e interrogativas no Simple Past?,O verbo auxiliar é DID (para todos os sujeitos). Ex: Did you go? / I didn't go.
"Quando o auxiliar 'did' é usado, o que acontece com o verbo principal?",O verbo principal volta para a sua forma base (infinitivo sem o 'to'). Não leva -ED.
Qual é a estrutura e o uso do Present Perfect (ex: I have lived here)?,"Sujeito + have/has + verbo no particípio. Usado para ações que começaram no passado e continuam no presente, ou ações passadas com impacto no presente (sem tempo específico)."
Qual a diferença entre Simple Past e Present Perfect ao indicar tempo?,"O Simple Past é usado quando há um tempo passado definido (yesterday, in 2010). O Present Perfect não especifica o tempo."
Quais são os dois verbos auxiliares mais comuns para expressar o Futuro em inglês?,WILL (para decisões rápidas e promessas) e GOING TO (para planos previamente estabelecidos e previsões com evidência).
"Na frase 'Give it to me', qual é a classe gramatical de 'me'?","É um Object Pronoun (Pronome Objeto), pois recebe a ação do verbo."
Qual a diferença entre pronomes possessivos adjetivos e pronomes possessivos substantivos?,"Adjetivos (my, your) acompanham o substantivo (ex: my book). Substantivos (mine, yours) substituem o substantivo (ex: the book is mine)."
Traduza o falso cognato: 'Actually'.,Na verdade / O fato é que (NÃO significa 'atualmente').
Traduza o falso cognato: 'Currently'.,Atualmente / No momento.
Traduza o falso cognato: 'Pretend'.,Fingir (NÃO significa 'pretender').
Traduza o falso cognato: 'Intend'.,Pretender / Ter a intenção de.
Traduza o falso cognato: 'Library'.,Biblioteca (NÃO significa 'livraria').
Traduza o falso cognato: 'Bookstore'.,Livraria.
Traduza o falso cognato: 'Parents'.,Pais (pai e mãe). (NÃO significa 'parentes').
Traduza a palavra: 'Relatives'.,Parentes.
Qual preposição de tempo é usada antes de dias da semana e datas completas?,"ON. (Ex: On Monday, on May 5th)."
"Qual preposição de tempo é usada antes de meses, anos e estações do ano?","IN. (Ex: In 2026, in summer, in October)."
Qual preposição de tempo é usada para indicar horas exatas?,"AT. (Ex: At 7 o'clock, at noon)."
