Frente,Verso
"Segundo a Convenção Americana sobre Direitos Humanos (CADH), toda pessoa tem o direito de que se respeite sua vida. A partir de que momento esse direito é protegido?","Em geral, desde o momento da concepção."
A CADH permite a aplicação da pena de morte?,"Apenas nos países que não a aboliram, e aplicável somente aos delitos mais graves, em cumprimento de sentença final de tribunal competente."
Pode-se estender a aplicação da pena de morte a delitos aos quais não se aplique atualmente (segundo a CADH)?,Não. Não se pode estender sua aplicação a outros delitos.
Um país que aboliu a pena de morte pode restabelecê-la segundo a CADH?,Não. Em nenhum caso a pena de morte pode ser restabelecida.
A CADH proíbe a imposição da pena de morte a quais grupos de pessoas (idade e condição)?,"Menores de 18 anos, maiores de 70 anos (no momento do delito) e mulheres em estado de gravidez."
"Segundo a CADH, a pena pode passar da pessoa do delinquente?",Não. A pena não pode passar da pessoa do delinquente (Princípio da Intranscendência da Pena).
"Como devem ser tratados os processados em relação aos condenados, segundo a CADH?",Devem ficar separados dos condenados (salvo em circunstâncias excepcionais) e receber tratamento adequado à sua condição de pessoas não condenadas.
Qual é a finalidade essencial das penas privativas de liberdade segundo a CADH?,A reforma e a readaptação social dos condenados.
A CADH permite a prisão por dívidas?,A regra geral é a não prisão por dívida. A ÚNICA EXCEÇÃO permitida é o inadimplemento de obrigação alimentar.
"Toda pessoa detida ou retida deve ser conduzida, sem demora, à presença de quem, segundo a CADH?",À presença de um juiz ou outra autoridade autorizada por lei a exercer funções judiciais (Audiência de Custódia).
"Segundo a CADH, o processo penal deve ser público? Há exceções?","Sim, o processo penal deve ser público, salvo no que for necessário para preservar os interesses da justiça."
"Pela CADH, ninguém pode ser submetido a escravidão ou servidão. O que NÃO constitui trabalho forçado ou obrigatório para esse fim?","Trabalhos exigidos de pessoas reclusas (desde que não prejudiquem a dignidade), serviço militar, serviço em casos de perigo/calamidade e obrigações cívicas normais."
"Em relação à liberdade de consciência e religião, os pais têm qual direito em relação aos filhos segundo a CADH?",O direito de que seus filhos recebam a educação religiosa e moral que esteja de acordo com suas próprias convicções.
A CADH permite a censura prévia?,Regra geral: Não pode haver censura prévia. Apenas responsabilidades ulteriores. Exceção de censura: espetáculos públicos para proteção moral da infância e adolescência.
"Toda propaganda a favor da guerra e toda apologia ao ódio nacional, racial ou religioso devem ser tratadas como?",A lei deve proibi-las e considerá-las como delitos puníveis.
Qual é a regra geral de acentuação das palavras proparoxítonas?,"Todas as palavras proparoxítonas são acentuadas graficamente. (Ex: médico, lâmpada)."
Acentuam-se as oxítonas terminadas em quais letras/sílabas?,"Terminadas em A, E, O (seguidas ou não de S), EM e ENS. (Ex: sofá, café, cipó, armazém)."
"Acentuam-se as paroxítonas terminadas em A, E, O, EM, ENS?","NÃO. Essa é a regra das oxítonas. As paroxítonas são acentuadas quando terminam no RESTO (L, N, R, X, PS, ã, ão, um, uns, etc) e em ditongos. (Ex: fácil, tórax, cárie)."
Qual é a regra de acentuação dos hiatos (I e U)?,"Acentuam-se o 'i' e o 'u' tônicos quando formam hiato com a vogal anterior, estando SOZINHOS na sílaba (ou seguidos de 's'). Ex: sa-í-da, ba-ú, fa-ís-ca."
A palavra 'juiz' tem acento? Por quê?,"Não tem acento. Apesar de formar hiato (ju-iz), o 'i' tônico é seguido de 'z' na mesma sílaba, o que anula a regra do hiato."
"Os ditongos abertos (EI, OI, EU) levam acento em palavras PAROXÍTONAS (ex: ideia, jiboia)?",Não. O Novo Acordo Ortográfico aboliu o acento dos ditongos abertos nas paroxítonas.
"Os ditongos abertos (EI, OI, EU) continuam sendo acentuados em quais palavras?","Nas OXÍTONAS e MONOSSÍLABOS TÔNICOS. (Ex: herói, papéis, céu)."
Quando utilizamos 'Por que' (separado e sem acento)?,"Em perguntas diretas ou indiretas, ou quando puder ser substituído por 'pelo qual/pelos quais' ou 'por qual motivo'."
Quando utilizamos 'Porque' (junto e sem acento)?,"Em respostas, justificativas ou explicações. (Equivale a 'pois' ou 'visto que')."
Quando utilizamos 'Por quê' (separado e com acento)?,"Em final de frase interrogativa (antes do ponto final, de interrogação ou exclamação). O 'que' torna-se tônico."
Quando utilizamos 'Porquê' (junto e com acento)?,"Quando for um substantivo, significando 'o motivo' ou 'a razão'. Geralmente vem precedido de artigo (o, um)."
O que é um 'Substantivo'? (Classe de palavras),"É a palavra que nomeia seres, objetos, fenômenos, lugares, sentimentos, etc."
O que é um 'Adjetivo'? (Classe de palavras),"É a palavra que caracteriza o substantivo, indicando-lhe qualidade, defeito, estado ou condição."
Qual a diferença entre pronome e adjetivo na sintaxe?,"O pronome substitui ou acompanha o substantivo, enquanto o adjetivo caracteriza o substantivo."
O que é um 'Advérbio'? (Classe de palavras),"É a palavra invariável que modifica o sentido do verbo, do adjetivo ou do próprio advérbio, indicando circunstâncias (tempo, lugar, modo, etc)."
Qual a diferença fundamental na concordância entre adjetivo e advérbio?,O adjetivo é variável (concorda em gênero e número com o substantivo). O advérbio é invariável.
