Frente,Verso
Qual é a regra geral de concordância verbal?,"O verbo deve concordar em número (singular/plural) e pessoa (1ª, 2ª, 3ª) com o núcleo do sujeito."
O que é um 'Sujeito Oculto' (ou elíptico/desinencial)?,"É aquele que não está explícito na oração, mas pode ser identificado pela desinência verbal. Ex: (Nós) Estudamos muito hoje."
Quais são os dois casos principais de Oração Sem Sujeito?,"1) Verbos que indicam fenômenos da natureza (chover, nevar). 2) Verbos haver/fazer indicando tempo decorrido ou existir."
"Como fica a concordância do verbo com a expressão partitiva (ex: a maioria de, grande parte de) seguida de plural? (Ex: A maioria dos alunos...)",O verbo pode ficar no singular (concordando com 'maioria') ou no plural (concordando com 'alunos'). Ambas estão corretas.
Na frase: 'Aluga-se casas' há um erro. Por quê?,"O verbo deve estar no plural ('Alugam-se casas'). O 'se' é partícula apassivadora, logo 'casas' é o sujeito paciente (Casas são alugadas)."
"Na frase: 'Precisa-se de funcionários', o verbo vai para o plural?","Não. Fica sempre no singular. O 'se' é índice de indeterminação do sujeito, pois o verbo é transitivo indireto (exige preposição 'de')."
Como ocorre a concordância com o pronome relativo 'QUE'? (Ex: Fui eu QUE...),O verbo concorda com o antecedente do pronome 'que'. Ex: Fui eu QUE fiz / Fomos nós QUE fizemos.
Como ocorre a concordância com o pronome relativo 'QUEM'? (Ex: Fui eu QUEM...),O verbo concorda com o antecedente OU fica na 3ª pessoa do singular. Ex: Fui eu QUEM fez / Fui eu QUEM fiz.
Como o adjetivo concorda quando se refere a mais de um substantivo (de gêneros diferentes) e vem APÓS eles? (Ex: Blusa e sapato...),Pode concordar no masculino plural (Blusa e sapato NOVOS) ou concordar apenas com o mais próximo (Blusa e sapato NOVO).
A palavra 'meio' variando como adjetivo (metade) concorda com o substantivo. E quando é advérbio (um pouco)?,Como advérbio é invariável. Ex: Ela está MEIO cansada (e não 'meia' cansada).
As palavras 'Anexo' e 'Incluso' concordam com o substantivo?,Sim. Ex: Seguem ANEXAS as fotos. Segue INCLUSO o documento. (Atenção: A expressão 'EM ANEXO' é invariável).
"Na expressão 'É proibido / É necessário', como ocorre a concordância?","Se o sujeito vier com artigo, há concordância (É proibida A entrada). Se vier sem artigo, fica invariável (É proibido entrada)."
Qual é a regência do verbo ASSISTIR no sentido de ver/presenciar?,É transitivo indireto (exige preposição 'a'). Ex: Assistimos AO filme.
Qual é a regência do verbo ASSISTIR no sentido de ajudar/prestar socorro?,É transitivo direto (não exige preposição). Ex: O médico assistiu O paciente.
Qual é a regência do verbo ASPIRAR no sentido de desejar/almejar?,É transitivo indireto (exige preposição 'a'). Ex: Ele aspira AO cargo de soldado.
Qual é a regência do verbo IMPLICAR no sentido de acarretar/ter como consequência?,É transitivo direto (não exige preposição). Ex: A infração implicará multa (e não 'implicará em').
Pode-se separar o sujeito do verbo por vírgula?,"Regra de ouro: NÃO. É proibido separar por vírgula o sujeito e o predicado, mesmo que o sujeito seja longo."
Quando o uso da vírgula é obrigatório com o adjunto adverbial?,Quando o adjunto adverbial de longa extensão estiver deslocado (no início ou meio da oração).
O que é o aposto explicativo e qual é a sua pontuação?,"É o termo que explica ou detalha um substantivo anterior. Ele DEVE vir isolado por vírgulas, travessões ou parênteses."
