Frente,Verso
O que significa a característica da 'Historicidade' dos Direitos Humanos?,"Significa que os direitos humanos não surgiram todos de uma vez. Eles são fruto de uma evolução histórica, conquistas progressivas ao longo do tempo."
O que significa a característica da 'Universalidade'?,"Significa que os direitos humanos englobam todos os indivíduos, independentemente de nacionalidade, sexo, raça, credo ou convicção político-filosófica."
O que significa a característica da 'Irrenunciabilidade'?,"Significa que ninguém pode abrir mão (renunciar) aos seus direitos humanos fundamentais, nem mesmo por vontade própria."
O que significa a característica da 'Inalienabilidade'?,"Significa que os direitos humanos não possuem conteúdo econômico-patrimonial. Não podem ser vendidos, transferidos, doados ou comercializados."
O que significa a característica da 'Imprescritibilidade'?,Significa que os direitos humanos não se perdem com o passar do tempo. Eles não prescrevem se não forem exercidos.
O que significa a característica da 'Interdependência' (ou Indivisibilidade)?,"Significa que os direitos humanos formam um conjunto único e interligado. A violação de um direito (ex: saúde) afeta diretamente o exercício de outros (ex: vida, trabalho)."
Os Direitos Humanos de Primeira Geração (ou Dimensão) estão ligados a qual valor fundamental e o que exigem do Estado?,Ligados à LIBERDADE. Exigem uma postura negativa (abstenção) do Estado. São os direitos civis e políticos.
Os Direitos Humanos de Segunda Geração estão ligados a qual valor e o que exigem do Estado?,"Ligados à IGUALDADE. Exigem uma postura positiva (ação/prestação) do Estado. São os direitos Sociais, Econômicos e Culturais (SEC)."
Os Direitos Humanos de Terceira Geração estão ligados a qual valor e quem são os seus titulares?,"Ligados à FRATERNIDADE (ou Solidariedade). Os titulares são a coletividade/humanidade. Exemplos: Direito ao meio ambiente equilibrado, paz, desenvolvimento."
A Declaração Universal dos Direitos Humanos (DUDH) de 1948 é um Tratado Internacional que exige ratificação (tem força de lei)?,"Originalmente, NÃO. A DUDH é uma Resolução da Assembleia Geral da ONU (soft law). Não é um tratado e não precisou de ratificação, embora hoje tenha força vinculante pelo costume internacional."
"Segundo a DUDH, em que situações o direito ao asilo não pode ser invocado?",Em caso de perseguição legitimamente motivada por crimes de direito comum ou por atos contrários aos objetivos e princípios das Nações Unidas.
A DUDH prevê o direito à propriedade privada?,"SIM. Toda pessoa tem direito à propriedade, só ou em sociedade com outros, e ninguém será arbitrariamente privado de sua propriedade."
A DUDH prevê o direito a férias remuneradas?,"SIM. Toda pessoa tem direito ao repouso e aos lazeres, e especialmente a uma limitação razoável da duração do trabalho e a férias periódicas pagas."
O que a DUDH estabelece sobre a filiação a um sindicato?,"Toda pessoa tem o direito de fundar, com outras pessoas, sindicatos e de se filiar em sindicatos para defesa dos seus interesses. (Liberdade sindical)."
O que a DUDH estabelece sobre a obrigatoriedade de pertencer a uma associação?,Ninguém pode ser obrigado a fazer parte de uma associação.
