Frente,Verso
Quais são os 3 tipos de Predicado na sintaxe?,"Predicado Verbal, Predicado Nominal e Predicado Verbo-Nominal."
Como se identifica um Predicado Nominal?,"Possui um verbo de ligação (ser, estar, parecer, permanecer, ficar, continuar, andar) e um predicativo do sujeito (uma característica/estado do sujeito). Ex: O soldado estava cansado."
Qual é o núcleo de um Predicado Nominal?,"O núcleo é sempre o NOME (o predicativo do sujeito), e não o verbo de ligação."
Como se identifica um Predicado Verbal?,"Possui um verbo nocional (de ação), transitivo ou intransitivo, e não há predicativo do sujeito. O núcleo é o próprio VERBO. Ex: O recruta correu muito."
Como se identifica um Predicado Verbo-Nominal?,Possui dois núcleos: um verbo nocional (ação) e um nome (predicativo do sujeito ou do objeto). Ex: O recruta correu (ação) cansado (estado).
O que é o Objeto Direto e como identificá-lo?,"É o complemento do verbo transitivo direto, ligando-se ao verbo SEM preposição obrigatória. Responde às perguntas 'o quê?' ou 'quem?'. Ex: Comprei (o quê?) um livro."
O que é o Objeto Indireto e como identificá-lo?,"É o complemento do verbo transitivo indireto, ligando-se ao verbo COM preposição obrigatória. Responde a 'de que/quem?', 'para que/quem?', 'a que/quem?'. Ex: Gosto (de quê?) de bolo."
O que é o Complemento Nominal?,"É o termo que completa o sentido de um NOME (substantivo abstrato, adjetivo ou advérbio), vindo sempre acompanhado de preposição. Ex: Tenho obediência ÀS LEIS."
Qual a principal diferença entre Adjunto Adnominal e Complemento Nominal quando acompanham substantivos abstratos?,O Complemento Nominal tem valor PACIENTE (recebe a ação do nome). O Adjunto Adnominal tem valor AGENTE (pratica a ação do nome). Ex: Invenção do rádio (Rádio foi inventado = Paciente/CN) / Invenção de Marconi (Marconi inventou = Agente/AA).
A Constituição Federal define quais são os crimes militares no Artigo 144?,"NÃO. A CF/88 não elenca os crimes militares. Ela remete essa definição à LEI (neste caso, o Código Penal Militar - CPM). O Art. 144 foca apenas na estrutura dos órgãos de segurança."
Os militares dos Estados (PM e CBM) são julgados por qual justiça quando cometem crimes militares definidos em lei?,São julgados pela Justiça Militar Estadual.
O civil (pessoa não militar) pode cometer crime militar contra a Polícia Militar Estadual?,NÃO na esfera Estadual. A Justiça Militar Estadual julga APENAS os militares dos Estados nos crimes militares. Civis que cometem crimes contra a PM (ex: desacato a PM) são julgados pela Justiça Comum.
"Se um Policial Militar (em serviço) cometer crime doloso contra a vida de um civil, quem o julgará?","Será julgado pela Justiça Comum, especificamente pelo TRIBUNAL DO JÚRI (Art. 125, §4º da CF)."
"Se um Policial Militar (em serviço) cometer crime doloso contra a vida de OUTRO MILITAR, quem o julgará?",Será julgado pela Justiça Militar Estadual.
Os atos disciplinares militares podem ser anulados ou revistos pelo Poder Judiciário (Habeas Corpus)?,"O mérito (a punição em si) não, pois não cabe HC contra punição disciplinar militar. Contudo, a LEGALIDADE (se quem puniu tinha competência, se houve ampla defesa) pode ser revista pelo Judiciário."
