Frente,Verso
Uma Comissão Parlamentar de Inquérito (CPI) tem o poder de decretar a prisão de alguém?,"NÃO. A CPI não tem poder para decretar prisão preventiva ou temporária, SALVO em caso de flagrante delito."
O brasileiro naturalizado pode ser extraditado por envolvimento com tráfico de drogas ocorrido APÓS a naturalização?,"SIM. Para o tráfico de entorpecentes, a extradição do naturalizado pode ocorrer a QUALQUER TEMPO (antes ou depois da naturalização)."
A quem compete julgar o Presidente da República nos crimes de responsabilidade?,Ao Senado Federal.
"Na expressão 'A distância' (ex: Ensino a distância), ocorre crase?",NÃO. Só ocorre crase se a palavra 'distância' estiver especificada (ex: Ensino à distância de 10 metros).
O sujeito pode ser separado do verbo por uma vírgula se for muito longo?,NUNCA. É a regra de ouro da pontuação. Não se separa sujeito de predicado por vírgula imediata.
"Na frase 'Fazem dez anos que não o vejo', qual é o erro?",O verbo 'fazer' indicando tempo decorrido é impessoal (não tem sujeito) e deve ficar sempre no SINGULAR: 'Faz dez anos'.
O que é uma Tautologia na Lógica Proposicional?,"É uma proposição composta cujo valor lógico é SEMPRE Verdadeiro (V), independentemente dos valores das proposições simples que a compõem."
O que é uma Contradição na Lógica Proposicional?,É uma proposição composta cujo valor lógico é SEMPRE Falso (F).
É correto negar a proposição 'Todo policial é herói' dizendo 'Nenhum policial é herói'?,"NÃO. A negação correta exige o 'Furo' (Algum, Pelo menos um, Existe). O correto seria: 'Algum policial NÃO é herói'."
O Pacto de San José da Costa Rica admite a pena de morte para crimes novos?,NÃO. Os Estados que não aboliram a pena de morte só a podem aplicar aos delitos mais graves já previstos. Não se pode estender a novos crimes (Efeito Clicquot).
"Se uma lei brasileira for publicada no exterior, qual será o seu prazo padrão de 'vacatio legis' (se não disser nada)?","3 meses após a sua publicação oficial (e não 45 dias, que é a regra para o Brasil)."
Traduza o falso cognato: 'FABRIC'.,"Tecido / Pano (NÃO significa 'fábrica', que é 'factory')."
Traduza o falso cognato: 'COLLEGE'.,"Faculdade / Universidade (NÃO significa 'colégio' de ensino básico/secundário, que é 'high school' ou 'school')."
