Frente,Verso
Ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de quê?,Em virtude de lei (Princípio da Legalidade).
"A manifestação do pensamento é livre, mas o que a Constituição veda expressamente?",Veda o anonimato.
"É assegurado o direito de resposta, proporcional ao agravo, além da indenização. Quais os 3 tipos de dano indenizáveis?","Dano material, moral ou à imagem."
"A casa é asilo inviolável. Durante a NOITE, quais as únicas 3 exceções para ingresso sem consentimento?","Flagrante delito, desastre ou para prestar socorro."
"Para ingresso em domicílio por determinação judicial, qual é o requisito de horário?",Durante o dia.
"É livre o exercício de qualquer trabalho, ofício ou profissão, desde que atendido qual requisito?",Atendidas as qualificações profissionais que a lei estabelecer.
"Para reunião pacífica em locais abertos ao público, é necessária autorização do Estado?",Não. Exige-se apenas prévio aviso à autoridade competente.
A criação de associações e cooperativas depende de autorização estatal?,"Não, independem de autorização, sendo vedada a interferência estatal."
A suspensão das atividades de uma associação exige que tipo de decisão?,Decisão judicial (não precisa transitar em julgado).
A dissolução compulsória de uma associação exige que tipo de decisão?,Decisão judicial transitada em julgado.
A propriedade atenderá a qual princípio constitucional limitador?,À sua função social.
Desapropriação por necessidade/utilidade pública: como deve ser a indenização regra?,"Prévia, justa e em dinheiro."
"No caso de iminente perigo público, a autoridade pode usar propriedade particular. Há indenização?","Sim, indenização ulterior (posterior), apenas se houver dano."
São gratuitos para os reconhecidamente pobres quais registros?,Registro civil de nascimento e certidão de óbito.
Quais são as duas ações constitucionais sempre gratuitas para qualquer pessoa?,Habeas corpus e habeas data.
Quais os 3 crimes inafiançáveis e imprescritíveis?,Racismo e ação de grupos armados contra o Estado.
Quais crimes são inafiançáveis e insuscetíveis de graça ou anistia (3T+H)?,"Tortura, Tráfico, Terrorismo e Hediondos."
Haverá pena de morte no Brasil em qual única exceção?,Em caso de guerra declarada.
"Filho de brasileiros nascido no exterior, com pais não estando a serviço do Brasil. Como se torna nato?",Registro em repartição competente OU residir no Brasil e optar após a maioridade.
Cite 3 cargos privativos de brasileiro nato (Mnemônico MP3.COM).,"Presidente da República, Ministro do STF, Oficial das Forças Armadas (há outros)."
Brasileiro nato pode ser extraditado?,"Não, em nenhuma hipótese."
Brasileiro naturalizado pode ser extraditado em quais situações?,Crime comum antes da naturalização ou tráfico de drogas a qualquer tempo.
Voto facultativo: quais são os 3 grupos?,"Analfabetos, maiores de 70 anos e jovens de 16 a 18 anos incompletos."
Quem são os absolutamente inalistáveis (não podem votar)?,Estrangeiros e conscritos (durante serviço militar obrigatório).
Regra geral: usa-se crase antes de palavras masculinas?,Não (exceto na expressão subentendida 'à moda de').
Usa-se crase antes de verbos?,Não.
O verbo 'fazer' indicando tempo decorrido fica em qual pessoa?,3ª pessoa do singular (ex: Faz dez anos).
O verbo 'haver' no sentido de existir possui sujeito?,"Não. É impessoal, fica na 3ª pessoa do singular."
"As conjunções 'mas, porém, contudo' expressam qual ideia?",Adversidade (oposição).
"As conjunções 'portanto, logo, pois (após verbo)' indicam o quê?",Conclusão.
Qual o prazo padrão (vacatio legis) para lei entrar em vigor no Brasil?,45 dias após publicação.
"Quando a lei for omissa, o juiz decidirá com base em quais 3 fontes (na ordem)?","Analogia, costumes e princípios gerais de direito."
A lei nova revoga automaticamente a anterior se não disser nada?,Não. Só revoga se for incompatível ou regular inteiramente a matéria.
"Segundo a DUDH, todos nascem livres e iguais em quê?",Em dignidade e direitos.
A DUDH permite a tortura em casos de terrorismo?,"Não. Ninguém será submetido a tortura, sem exceções."
