Frente,Verso
O conectivo 'HOWEVER' expressa qual ideia no texto?,"Ideia de Oposição/Adversidade (Tradução: no entanto, porém). Equivale a 'but'."
Os conectivos 'ALTHOUGH' e 'EVEN THOUGH' indicam o quê?,"Indicam Concessão (Tradução: embora, ainda que)."
O conectivo 'THEREFORE' é usado para introduzir qual tipo de ideia?,"Uma Conclusão ou Resultado (Tradução: portanto, por isso). Equivale a 'so' ou 'thus'."
Os conectivos 'MOREOVER' e 'FURTHERMORE' servem para quê?,"Para Adição de ideias (Tradução: além disso, ademais). Equivale a 'in addition'."
Qual é a tradução e a função de 'BECAUSE OF' e 'DUE TO'?,Tradução: 'devido a' ou 'por causa de'. Função: Indicar a causa ou razão de algo.
O que significa a expressão 'INSTEAD OF'?,Significa 'em vez de' ou 'ao invés de'. Indica substituição ou alternativa.
Qual é a diferença entre 'DESPITE' e 'IN SPITE OF'?,Ambos significam 'apesar de' (Concessão) e são usados da mesma forma. Atenção: 'Despite' NUNCA é seguido pela preposição 'of'.
A expressão 'AS WELL AS' traduz-se como?,"Assim como, bem como (ideia de adição)."
Traduza o falso cognato: 'POLICY'.,"Política (no sentido de diretrizes, regras, apólice). NÃO significa 'polícia' (que é 'police')."
Traduza o falso cognato: 'MAYOR'.,Presidente da Câmara / Prefeito. NÃO significa 'maior' (que é 'bigger' ou 'larger').
Traduza o falso cognato: 'TAX'.,Imposto. NÃO significa 'taxa' (que geralmente é 'fee' ou 'rate').
Traduza o falso cognato: 'PREJUDICE'.,Preconceito. NÃO significa 'prejuízo' (que é 'damage' ou 'loss').
O que significa o verbo 'TO ARREST' em um texto policial?,"Prender, deter."
"O que indicam os prefixos 'UN-', 'DIS-' e 'IN-' (ex: unhappy, disagree, invisible)?","Indicam negação, oposição ou privação."
"Qual é a função do sufixo '-LESS' no final de um adjetivo (ex: homeless, useless)?","Indica 'falta de' ou 'sem' (ex: sem-abrigo/teto, inútil)."
"Qual é a função do sufixo '-FUL' no final de um adjetivo (ex: careful, powerful)?","Indica 'cheio de' ou 'provido de' (ex: cuidadoso, poderoso)."
O que faz o sufixo '-LY' quando adicionado a um adjetivo (ex: quick -> quickly)?,Transforma o adjetivo num ADVÉRBIO de modo (equivalente ao sufixo '-mente' em português. Ex: rapidamente).
