Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Estatística] Calcule a probabilidade de se obter soma 9 no lançamento simultâneo de dois dados usuais (seis faces, numeradas de 1 a 6) e não viciados em que o resultado do lançamento foi um número ímpar e um número par:",4/36.,2/9.,4/9.,2/36.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 111)",Fácil
"[Estatística] O acerto em provas de tiro é um requisito essencial para que um policial militar obtenha o porte de arma de fogo. A tabela a seguir apresenta a distribuição das probabilidades para o número de tiros certos em 10 disparos realizados  por  discentes  de  duas  turmas,  1º  Pel  e  2º  Pel:  [0-2:  0,02/0,01=0,03]  [2-4:  0,05/0,06=0,11]  [4-6: 0,11/0,10=0,21] [6-8: 0,12/0,13=0,25] [8-10: 0,15/0,19=0,34] [10: 0,02/0,04=0,06] Total 0,47/0,53=1. Supondo que um aluno foi escolhido aleatoriamente, analise: ( ) A probabilidade de o aluno escolhido ter realizado menos de quatro acertos é 0,14. ( ) Se o aluno escolhido é do 2º Pel, a probabilidade de ele ter acertado no mínimo seis tiros é 0,36. ( ) A probabilidade de o aluno escolhido ser do 1º Pel e ter acertado no máximo 6 tiros é 0,17. Assinale a sequência CORRETA, na ordem de cima para baixo:","F, F, V.","F, V, V.","V, F, F.","V, V, F.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 112)",Médio
"[Estatística] Em uma avaliação de orientação, o 1º Pelotão do Curso de Formação de Soldados da 28ª Região da Polícia Militar foi dividido em 04 grupamentos com 06 discentes cada. Cada grupamento foi avaliado em 05 percursos, sendo que o melhor grupamento em cada percurso é aquele em que o tempo de chegada no ponto final mais se aproxima do tempo fornecido pelos organizadores. Sabendo que para a avaliação foi estabelecido o tempo de 45 minutos para cada percurso e, tendo por base os dados estatísticos (Média/Moda/Desvio-Padrão): 1º Grupamento 45/40/5; 2º Grupamento 45/42/4; 3º Grupamento 45/44/1; 4º Grupamento 45/44/3. Marque a alternativa que representa o grupamento que apresentou melhor resultado na avaliação:",2º Grupamento.,3º Grupamento.,1º Grupamento.,4º Grupamento. 37,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 113)",Difícil
"[Estatística] O gráfico a seguir mostra a distribuição percentual dos crimes e contravenções no 75º Batalhão de Polícia Militar entre 2000 e 2019 (dados hipotéticos). De acordo com os dados apresentados no gráfico marque V ou F: ( ) De 2000 a 2019 os crimes contra o patrimônio representaram em média 25% das infrações totais. ( ) Nos primeiros 10  anos  do  estudo  as  contravenções  penais  apresentaram  decréscimo.  (  )  Ao  passo  que  os  crimes  contra  o patrimônio e os demais crimes estão reduzindo, as contravenções penais estão aumentando. ( ) No período do estudo os crimes contra a pessoa estão reduzindo e as contravenções penais estão aumentando. Marque a alternativa CORRETA, na ordem de cima para baixo:","F, F, F, V.","V, F, F, V.","V, V, V, F.","F, F, V, V. 38",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 114)",Fácil
"[RLM] Uma patrulha policial é composta por 4 policiais que se deslocam em fila na tentativa de abordar e capturar o autor de um crime. São eles os Soldados Cláudio, Fernando, João e Ricardo, não necessariamente nessa ordem. Cada um dos policiais porta uma arma: Espingarda, Fuzil, Pistola e Submetralhadora, também não necessariamente nessa ordem. Fernando dá cobertura ao policial que está a sua frente na fila e que porta uma submetralhadora. Cláudio que não é o último da fila, fica uma posição na frente de João que não está armado de Espingarda e não é o segundo da fila. O Terceiro militar da fila está armado de espingarda. Com base nas informações fornecidas é INCORRETO afirmar que:",Fernando é o segundo militar da fila.,Cláudio é o terceiro militar da fila e porta uma espingarda.,Ricardo é o primeiro militar da fila e porta uma submetralhadora.,João porta uma submetralhadora.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 115)",Médio
"[RLM] Analise as assertivas abaixo e, em seguida, responda o que se pede. I. A mediana é o valor central de um conjunto de números colocados por ordem de grandeza II. São exemplos de variáveis quantitativas discretas o número de filhos de um casal e a escolaridade de uma pessoa. III. Quanto maior o Desvio Padrão mais distante os valores amostrais estão da média ao passo que quanto mais próximo de zero, mais homogêneo é o conjunto. IV. Considerando um conjunto de 60 meninos e 40 meninas e a utilização da amostragem proporcional estratificada para a seleção de uma amostra de 10% do tamanho da população. A amostra conterá 5 meninos e 5 meninas. Marque a alternativa CORRETA:",Uma assertiva é falsa.,Duas assertivas são falsas.,Três assertivas são falsas.,Todas as assertivas são falsas.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 116)",Difícil
"[RLM] O assessor de comunicação da 20ª Região da Polícia Militar de Minas Gerais resolveu criar uma bandeira que representasse a sua região. Ele desenhou a bandeira, que pretende colorir com quatro cores diferentes escolhidas entre as seis cores que representam a sua região. Quantas formas distintas de pintar a bandeira com quatro cores diferentes ele possui?",240.,360.,60.,180. 39,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 117)",Fácil
"[RLM] A Polícia Militar de Minas Gerais avalia a qualidade do serviço prestado à comunidade através de metas de redução de criminalidade, de indicadores de produtividade como quantidade de apreensões de drogas e armas ilegais, bem como sob a ótica da satisfação da população. Em relação à satisfação da população é realizada uma pesquisa  através  da  internet  que  contempla  3  (três)  indicadores,  quais  sejam:  Sensação  de  Segurança, Atendimento do 190 e Atendimento pelo Policial no Local da Ocorrência. Os dados da pesquisa revelaram que: I. 66% dos cidadãos Mineiros se sentem seguros. II. 58% aprovam o atendimento via telefona ao 190. III. 60% aprovam o atendimento pelo Policial no Local da Ocorrência. IV. 43% dos entrevistados se sentem seguros e aprovam o atendimento via telefona ao 190. V. 42% dos entrevistados se sentem seguros e aprovam o atendimento pelo Policial no Local da Ocorrência. VI. 31% dos entrevistados aprovam tanto o atendimento via telefona ao 190 e pelo Policial no Local da Ocorrência. VII. 28% dos entrevistados se sentem seguros e aprovam tanto o atendimento via telefona ao 190 quanto o atendimento pelo Policial no Local da Ocorrência. VIII. O restante dos entrevistados não se sentem seguros e não aprovam nem o atendimento pelo 190 nem o atendimento pelo policial no local da ocorrência. Marque a alternativa CORRETA que corresponde ao percentual de entrevistados que não aprova o atendimento 190.",42.,04.,38.,29.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 118)",Médio
[RLM] Com uma régua você mede no mapa um trecho reto de uma rodovia entre o Km – 45 e o km – 63. A distância no mapa é de 10 cm. Marque a alternativa CORRETA que corresponde à escala cartográfica desse mapa.,1:18.000.,1:1.800.000.,1:1.800.,1:180.000.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 119)",Difícil
"[RLM] A  fábrica  de  munições  de  PMMG  em  sua  capacidade  máxima  produz  3.000  munições  por  dia  com  5 funcionários trabalhando 8 horas por dia. Com a nova turma de soldados, a fábrica de munições precisará produzir 5250 munições por dia e para isso contratou mais 02 funcionários. Quantas horas os 07 funcionários terão de trabalhar para suprir essa nova demanda diária de munições?","19,6.","6,4.","10,0.","12,0.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 120)",Fácil
"[RLM] Considere a seguinte sequência: 1, 5, 13, ...,. Nessa sequência, cada termo é o dobro do seu anterior mais três. Marque a alternativa CORRETA que se refere ao nono termo dessa sequência.",509.,1021.,2045.,4093. 40,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 121)",Médio
[RLM] Sabendo que o sétimo termo de uma Progressão Geométrica é 2187 e que o primeiro termo é 3. Marque a alternativa CORRETA que corresponde ao quinto termo.,729.,81.,1353.,243.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 122)",Difícil
"[RLM] Certo mapa representativo da área geográfica de uma Companhia de Polícia Militar “X”, tem escala de 1: 600 000 (um por seiscentos mil). Para cumprir as missões policiais planejadas para determinado dia, uma guarnição policial precisa, partindo do ponto de lançamento da operação A, percorrer, no mapa, os seguimentos de reta AB e BC, que medem, respectivamente, 6 cm e 8 cm. Ao término dos atendimentos, a guarnição retornará ao ponto de lançamento  da  operação  pelo  segmento  de  reta  CA,  que  mede  10  cm.  Marque  a  alternativa  CORRETA  que corresponde à medida real, em quilômetros, de todo trajeto percorrido nos trechos AB, BC e CA:",94 Km.,144 Km,940 Km.,1440 Km,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 123)",Fácil
"[RLM] Segundo estatística do Batalhão de Polícia Militar “A”, a quantidade de crimes registrados nos meses do ano de 2023 é demonstrado na tabela: Jan 53, Fev 56, Mar 57, Abr 57, Mai 58, Jun 59, Jul 51, Ago 41, Set 44, Out 41, Nov 41, Dez 42. Considerando a variável “Nº de Crimes Registrados” nos meses de Jan a Dez de 2023, marque a alterativa CORRETA que descreve, respectivamente, a moda, mediana e média aritmética simples do conjunto.","Moda = 41, Mediana = 52, Média Aritmética Simples = 50.","Moda = 57, Mediana = 51, Média Aritmética Simples = 48.","Moda = 41, Mediana = 53, Média Aritmética Simples = 49.","Moda = 57, Mediana = 51, Média Aritmética Simples = 48.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 124)",Médio
"[RLM] Analise as proposições lógicas, hipoteticamente proferidas por um militar de determinado Batalhão: I. Se o Tenente emitir o parecer técnico, então o sargento redigirá o Ofício; II. Os documentos comprobatórios serão anexados ao processo se o sargento tiver redigido o Ofício; III. Ou os documentos comprobatórios são anexados ao processo, ou são arquivados. Considerando  que  as  alternativas  anteriores  possuem  valoração  verdadeira  e,  sabendo  que  os  documentos comprobatórios não foram anexados ao processo, então:",O Tenente emitiu o parecer técnico e os documentos comprobatórios foram arquivados.,"O Tenente emitiu o parecer técnico, mas o ofício não foi redigido.",Ou os documentos comprobatórios foram arquivados ou o ofício não foi redigido.,O ofício não foi redigido e os documentos comprobatórios foram arquivados. 41,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 125)",Difícil
"[RLM] As dimensões a, b e c de um paralelepípedo retângulo estão em progressão aritmética. Se a soma dessas medidas é igual a 30 cm e a área total do paralelepípedo é igual a 592 cm², então o volume desse paralelepípedo, em centímetros cúbicos, é igual a:",720.,840.,960.,1200.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 126)",Fácil
"[RLM] Os Batalhões de Polícia Militar A, B, C e D de uma cidade ofertam os seguintes serviços de Policiamento: Policiamento  Ostensivo  Geral  (POG),  Policiamento  Ambiental  (PMAMB),  Policiamento  de  Trânsito  (PATRAN), Patrulha de Prevenção à Violência Doméstica (PPVD). Tabela com quantidade de cada tipo de ocorrência atendida por batalhão e tempo total de permanência na delegacia (min): A: 2,2,3,2 = 130; B: 2,1,2,4 = 140; C: 0,5,0,0 = 100; D: 3,2,5,1 = 140. Sabendo que o tempo de permanência na delegacia é igual para o atendimento de cada ocorrência do mesmo tipo de  policiamento,  marque  a  alternativa  CORRETA  que  contém,  respectivamente,  o  tempo,  em  minutos,  de permanência na delegacia para as modalidades de policiamento POG, PMAMB, PATRAN e PPVD.","15, 30, 10, 10","20, 20, 10, 20","10, 20, 10, 20","30, 15, 20, 10",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 127)",Médio
"[RLM] Denomina-se “Arranjo simples” (An,p) todos os agrupamentos simples de “p” elementos que podemos formar com  “n”  elementos  distintos,  sendo  p≤n,  diferenciando-se  pela  ordem  ou  natureza.  Já  na  “Combinação Simples” (Cn,p), os agrupamentos se diferenciam apenas pela natureza dos elementos e não pela ordem. Assinale  a  alternativa  que  contenha  corretamente:  a  fórmula  do  Arranjo  Simples;  a  fórmula  da  Combinação Simples; e a quantidade de números naturais de 3 algarismos distintos que podem ser formados.","An,p = n!/(n−p)! ; Cn,p = n!/[p!(n−p)!] ; 648 números","An,p = n!/(n−p)! ; Cn,p = n!/[p!(n−p)!] ; 720 números","Cn,p = n!/(n−p)! ; An,p = n!/[p!(n−p)!] ; 720 números","An,p = n!/(n−p)! ; Cn,p = n!/[p!(n−p)!] ; 900 números",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 128)",Difícil
"[RLM] Sabe-se que o policiamento ostensivo inibe práticas criminosas e sua ausência pode acarretar aumento de práticas criminosas. O número de delitos que ocorrem em uma área, por dia, após ficar sem policiamento por um tempo “t” em dias é dado por N = N0.e^(r.t), em que N0 é o número de delitos com policiamento ininterrupto (t=0), “r” é a taxa de crescimento relativo e “e” é o número de Euler. Em quanto tempo o número de delitos dobrará, se a taxa de crescimento relativo for 5% ao dia? Considere ln 2 = 0,7 e ln e = 1.",10 dias.,12 dias.,14 dias.,16 dias. 42,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 129)",Fácil
"[RLM] Em um determinado Batalhão de Polícia Militar, de um total de efetivo de 40 policiais militares, 30 trabalham no serviço de Policiamento Ostensivo Geral (POG), 20 trabalham na Base Comunitária Móvel (BCM) e 5 trabalham em outros serviços que não sejam POG ou BCM. Qual é a quantidade de militares que trabalham nas duas atividades POG e BCM?",14,15,16,20,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 130)",Médio
"[RLM] Devido ao aumento de demanda por policiais militares do quadro de músicos no Estado X, o Governo do Estado anunciou contratação, através de concurso público, de 17 policiais militares músicos no ano de 2024 e a cada ano seguinte dobrará (aumento de 100%) o número de policiais militares músicos contratados. Sabendo que a soma dos n primeiros termos de uma PG de razão q≠1 é Sn = a1.(q^n − 1)/(q − 1), quantos policiais militares músicos serão contratados no período de 2024 a 2033?",12486,15498,16874,17391,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 131)",Difícil
"[RLM] Numa Companhia de Polícia Militar X, 10 viaturas cumprem em 6 dias a meta mensal de atendimento de denúncias fazendo 8 horas de trabalho diárias cada. Se apenas 5 viaturas estiverem trabalhando, fazendo 6 horas de trabalho diárias, quantos dias elas levarão para cumprirem a meta de atendimento de denúncias?",12,15,16,18 43,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 132)",Fácil
[RLM] Considere as proposições p e q. A proposição (p → q) ↔ (~q → ~p) é:,Uma contradição,Uma tautologia,Equivalente a p ∧ q,Verdadeira apenas quando p é falsa,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 1)",Médio
"[RLM] Numa progressão geométrica de razão q > 1, o primeiro termo é 3 e a soma dos três primeiros termos é 39. O valor de q é:",2,3,4,5,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 2)",Difícil
