Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[LINDB] Em relação ao previsto na Lei de Introdução às Normas do Direito Brasileiro – Decreto-Lei nº 4.657, de 04 de setembro de 1942, assinale a alternativa CORRETA:","Quando a lei for omissa, o juiz decidirá o caso de acordo com a interpretação extensiva, os costumes e os princípios gerais de direito.","Nas esferas administrativa, controladora e judicial, não se decidirá com base em valores jurídicos abstratos sem que sejam consideradas as consequências práticas da decisão. Dessa maneira, dispõe a Lei de Introdução às Normas do Direito Brasileiro que a adequação demonstrará a necessidade e a motivação da medida imposta ou da validação de ato, contrato, ajuste, processo ou norma administrativa, inclusive em face das possíveis alternativas.","Salvo disposição contrária, a lei começa a vigorar em todo o país noventa dias depois de oficialmente publicada, e, nos Estados estrangeiros, a obrigatoriedade da lei brasileira, quando admitida, se inicia quarenta e cinco dias depois de publicação oficial.","As autoridades públicas devem atuar para aumentar a segurança jurídica na aplicação das normas, inclusive por meio de regulamentos, súmulas administrativas e respostas a consultas, que terão caráter vinculante em relação ao órgão ou entidade a que se destinam, até ulterior revisão.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 93)",Fácil
"[LINDB] Acerca das disposições da Lei de Introdução às Normas do Direito Brasileiro – Decreto-Lei nº 4.657, de 04 de setembro de 1942, assinale a alternativa CORRETA:",Reputa-se caso julgado o já consumado segundo a lei vigente ao tempo em que se efetuou.,"A lei terá vigor até que outra a modifique ou revogue, mesmo que o diploma legal se destine à vigência temporária.",A Lei de Introdução às Normas do Direito Brasileiro admite que o desconhecimento da lei seja utilizado como justificativa para escusa de seu cumprimento.,"A lei nova, que estabeleça disposições gerais ou especiais a par das já existentes, não revoga nem modifica a lei anterior. 30",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 94)",Médio
"[LINDB] A Lei de Introdução às Normas do Direito Brasileiro (LINDB) estabelece que, salvo disposição contrária, a lei começa a vigorar em todo o país ____ após oficialmente publicada.",Imediatamente,45 dias,90 dias,15 dias,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 156)",Fácil
"[LINDB] Nos Estados estrangeiros, a obrigatoriedade da lei brasileira, quando admitida, se inicia:",Imediatamente após a publicação.,3 (três) meses depois de oficialmente publicada.,90 dias depois.,6 meses depois.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 157)",Médio
[LINDB] Ao período entre a publicação da lei e sua efetiva entrada em vigor dá-se o nome de:,Revogação.,Vacatio legis.,Repristinação.,Derrogação.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 158)",Difícil
"[LINDB] Se, antes de entrar em vigor a lei, ocorrer nova publicação de seu texto, destinada a correção, o prazo de vacância:",Permanece inalterado.,Começará a correr da nova publicação.,É automaticamente dobrado.,"É extinto, entrando a lei em vigor imediatamente.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 159)",Fácil
"[LINDB] A lei posterior revoga a anterior quando seja com ela incompatível ou quando regule inteiramente a matéria de que tratava a lei anterior, ainda que sem declaração expressa. Trata-se de revogação:",Expressa.,Tácita.,Total absoluta.,Inexistente no ordenamento. 32,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 160)",Médio
"[LINDB] A revogação de uma lei revogadora NÃO restaura, em regra, a lei anteriormente revogada por ela, salvo disposição em contrário. A esse fenômeno excepcional dá-se o nome de:",Repristinação.,Derrogação.,Ab-rogação.,Recepção.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 161)",Difícil
"[LINDB] Ninguém se escusa de cumprir a lei, alegando que não a conhece. Esse princípio, previsto no art. 3º da LINDB, é conhecido como:",Obrigatoriedade/inescusabilidade do desconhecimento da lei.,Irretroatividade.,Legalidade estrita.,Anterioridade.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 162)",Fácil
"[LINDB] Quando a lei for omissa, o juiz decidirá o caso de acordo com:",Apenas a analogia.,"A analogia, os costumes e os princípios gerais de direito.",Apenas os princípios gerais de direito.,Exclusivamente a jurisprudência dominante.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 163)",Médio
