Pergunta,A,B,C,D,Correta,Comentario,Nivel
[Inglês] Considere  as  informações  contidas  no  Texto  I  (A  robust  Gender  Parity  Strategy)  e  assinale  a  alternativa CORRETA:,A Organização das Nações Unidas entende que não devem ser dadas oportunidades iguais para policiais mulheres nas missões em razão de sua fragilidade.,"A Divisão Policial da ONU entende que policiais mulheres não devem participar das missões, apenas homens.",A perspectiva de aumento do percentual de policiais mulheres na estrutura da UN Police Division se dará por meio do engajamento dos países-membros.,Em 2018 a ONU elaborou estratégia formal para aumentar a participação de policiais mulheres exclusivamente em suas missões de campo.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 56)",Difícil
"[Inglês] Considerando as informações trazidas pelo texto (FBI Releases 2019 Crime Statistics), assinale a alternativa CORRETA:","Verifica-se que houve uma redução de crimes violentos em 2019, se comparado com 2018.","Pelo terceiro ano seguido, a taxa de crimes violentos aumentou nos Estados Unidos.","Verifica-se que houve um aumento criminal em 2019, se comparado com 2018.",Os crimes contra a propriedade aumentaram em 2019.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 57)",Fácil
"[Inglês] Considerando  as  informações  contidas  no  texto  sobre  a  jogadora  sérvia  de  vôlei,  assinale  a  alternativa INCORRETA:","Além da suspensão da jogadora, a federação de vôlei da Sérvia foi multada no valor equivalente a $22.000.","Por ter sido um ato pessoal praticado pela jogadora, apenas ela será punida, não havendo qualquer punição ou sanção para a federação da Sérvia.",O valor arrecadado com a multa será doado às causas destinadas ao combate ao comportamento discriminatório ou para financiar programas educacionais sobre sensibilidade cultural.,"Segundo o texto, a jogadora violou regras disciplinares do esporte durante a partida que ocorreu na Itália.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 58)",Médio
"[Inglês] Considerando as informações contidas no texto sobre o caso ocorrido no Peru, assinale a alternativa CORRETA:","Graças a uma ação coordenada de autoridades de diferentes países, foi possível localizar e prender o casal que praticava abusos contra o bebê de dois meses.",Os autores do crime foram presos por oferecerem para venda os órgãos do bebê na darknet.,A colaboração internacional não foi fator determinante para a localização dos criminosos e da vítima.,"Segundo as investigações, os autores do crime ingressaram na darknet somente em 2021.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 59)",Difícil
"[Inglês] Em 24 de outubro de 2019, a Anistia Internacional publicou depoimentos de mulheres reais, do estado de Louisiana (EUA), que sofreram violência doméstica. Do depoimento de Angela, preencha as lacunas com as frases: I. He grabbed me by the hood of my sweatshirt, threw me out my door and got on top of me and started choking me. II. I was in the bathtub, when he came in and shot me. III. He started changing in 2015. IV. I look up at him and he says 'Look what you made me do Angie', 'You made me shoot you.' Assinale a alternativa que contém a sequência CORRETA, de cima para baixo:","II, IV, I, III.","III, II, IV, I.","IV, I, II, III.","III, I, II, IV. 19",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 60)",Fácil
"[Inglês] De  acordo  com  o  texto  (Drones,  robots,  license  plate  readers...),  qual  a  principal  razão  pela  qual  os departamentos de polícia estão a utilizar cada vez mais as tecnologias emergentes?","Para substituir completamente os policiais por máquinas em campo, a fim de reduzir os custos com pessoal.","Para aumentar a eficiência operacional, reduzir lesões e melhorar a resposta a emergências.","Para melhorar a imagem pública da polícia na comunidade, em resposta à pressão pública por maior transparência.",Para exibir as conquistas tecnológicas e manter uma imagem moderna.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 61)",Médio
"[Inglês] Escolha a alternativa que reescreve corretamente a frase seguinte sem alterar o seu sentido: ""Police grapple with community concerns as they turn to tech for their jobs""","While turning to tech for their jobs, police dismiss community concerns.",Police contend with community concerns while embracing technology for their jobs.,"Turning to tech for their jobs, police fail to acknowledge community concerns.",Police overlook community concerns while they engage with technology for their jobs.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 62)",Difícil
"[Inglês] Observe:  I.  O  texto  menciona  preocupações  relativas  à  privacidade  e  à  discriminação  como  fatores complicadores na adoção da tecnologia pela polícia. II. De acordo com o texto, as tecnologias emergentes estão a fomentar uma escalada na incidência de atividades criminosas. III. Os leitores de placa, entre outras tecnologias, são mencionados no texto como ferramentas que auxiliam a polícia na redução de ferimentos e lesões corporais. IV. O texto menciona que o Departamento de Polícia de Houston aumentou o seu efetivo para enfrentar os desafios impostos pela tecnologia. De acordo com o texto, está CORRETO afirmar que:",Todas as afirmações estão corretas.,Apenas uma das afirmações está correta.,Apenas duas das afirmações estão corretas.,Apenas três das afirmações estão corretas.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 63)",Fácil
"[Inglês] Com base nas informações do texto, por que Griffith, um representante do sindicato da polícia de Houston, expressa preocupações sobre tecnologias como as câmeras corporais?",Elas contribuem para o aumento dos níveis de estresse dos policiais.,Elas são ineficazes na redução das taxas de criminalidade.,Elas são muito caras para os departamentos de polícia.,Elas frequentemente deixam de capturar detalhes cruciais durante os incidentes.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 64)",Médio
"[Inglês] Na frase ""The move comes as some law enforcement agencies are struggling with retention and hiring during the pandemic"", a utilização do termo ""as"" é determinante para transmitir uma relação específica entre as duas orações. Qual é a função gramatical do termo ""as"" neste contexto?",Servir como pronome relativo indicando um ponto específico no tempo.,Introduzir uma oração concessiva indicando um resultado inesperado.,Representar um verbo imperativo que indica uma ação necessária.,Atuar como uma conjunção subordinativa indicando uma ação concorrente ou simultânea. 20,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 65)",Difícil
"[Inglês] According to the text, community policing helps officers build trust more effectively when compared to:",reactive patrolling.,tactical training.,conflict resolution.,crime prevention programs.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 171)",Fácil
"[Inglês] The expression ""this approach"", in the last sentence, refers to:",traditional tactical skills.,community policing.,reactive patrolling.,crime escalation.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 172)",Médio
"[Inglês] According to the text, in order for community policing to succeed, officers must:",avoid any contact with residents.,rely only on tactical skills.,"receive training in communication and conflict resolution, besides tactical skills.",work exclusively at night.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 173)",Difícil
"[Inglês] The word ""However"", which opens the last sentence, introduces, in relation to the previous idea, a notion of:",addition.,contrast.,cause.,conclusion.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 174)",Fácil
"[Inglês] The verb ""escalate"", as used in the text, is closest in meaning to:",decrease.,worsen/increase.,disappear.,remain unchanged. 35,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 175)",Médio
"[Inglês] Choose the correct third conditional form: ""If the officer ____ the suspect earlier, the situation would not have escalated.""",had stopped,stopped,stops,will stop,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 176)",Difícil
"[Inglês] Choose the correct passive form of: ""The police arrested the suspect yesterday.""",The suspect was arrested by the police yesterday.,The suspect is arrested by the police yesterday.,The suspect has arrested by the police yesterday.,The suspect arrested by the police yesterday.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 177)",Fácil
"[Inglês] Choose the correct modal verb of obligation: ""All officers ____ wear their uniforms during duty hours.""",must,might,could,would,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 178)",Médio
"[Inglês] Choose the correct modal verb of deduction: ""He isn't answering his radio; he ____ be on patrol in an area with no signal.""",must,can,should,need,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 179)",Difícil
"[Inglês] Choose the correct reported speech for: The sergeant said, ""I will check the report tomorrow.""",The sergeant said that he would check the report the next day.,The sergeant said that he will check the report the next day.,The sergeant said that he checks the report the next day.,The sergeant said that he checked the report the next day.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 180)",Fácil
"[Inglês] Choose the correct relative pronoun: ""The officer ____ car was damaged filed a report.""",who,which,whose,whom 36,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 181)",Médio
"[Inglês] Choose the correct comparative form: ""This patrol car is ____ than the old one."" (fast)",more fast,faster,fastest,most fast,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 182)",Difícil
"[Inglês] Choose the correct superlative form: ""He is ____ officer in the whole battalion."" (disciplined)",the more disciplined,more disciplined,the most disciplined,most disciplined,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 183)",Fácil
"[Inglês] Choose the correct preposition: ""The suspect was arrested ____ the corner of the street.""",in,on,at,by,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 184)",Médio
"[Inglês] Choose the correct tag question: ""You haven't finished the report yet, ____?""",have you,haven't you,did you,don't you,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 185)",Difícil
"[Inglês] Choose the phrasal verb that means ""to postpone"": ""The officers had to ____ the search due to bad weather.""",call off,call on,call up,call in,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 186)",Fácil
"[Inglês] Choose the phrasal verb that completes the sentence correctly: ""The suspect tried to ____ from the police but was caught.""",run into,run away,run over,run out 37,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 187)",Médio
[Inglês] Choose the correct sentence regarding the use of tenses:,I have joined the police force in 2015.,I joined the police force in 2015.,I join the police force in 2015.,I was joining the police force in 2015.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 188)",Difícil
"[Inglês] Choose the correct zero conditional form: ""If water ____ to 100°C, it boils.""",heats,heated,will heat,would heat,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 189)",Fácil
"[Inglês] Choose the correct question word: ""____ did the robbery take place? — At midnight.""",When,Who,Why,Whose,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 190)",Médio
"[Inglês] Choose the correct meaning of the word ""actually"" in English:",Atualmente.,Na verdade / de fato.,Eventualmente.,Realmente rico.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 191)",Difícil
"[Inglês] The word ""pretend"" in English means:",Pretender (ter intenção de).,Fingir.,Presumir.,Esperar.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 192)",Fácil
"[Inglês] Choose the correct second conditional form: ""If I ____ you, I would report the incident immediately.""",am,was,were,will be 38,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 193)",Médio
"[Inglês] Choose the correct prepositions: ""The training course starts ____ Monday ____ 8 a.m.""",in / at,on / at,at / on,in / on,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 194)",Difícil
"[Inglês] Choose  the  correct  passive  form  with  a  modal  verb:  ""The  evidence  ____  carefully  before  the trial."" (must / examine)",must examine,must be examined,must examined,must be examine,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 195)",Fácil
"[Inglês] Choose the noun that correctly completes: ""The ____ lasted several months."" (investigate)",investigative,investigation,investigator,investigate,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 196)",Médio
"[Inglês] Choose the correct conjunction: ""He was tired, ____ he kept working until the end of his shift.""",so,but,because,or,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 197)",Difícil
"[Inglês] Choose the correct verb form: ""The officer avoided ____ into the dark alley without backup."" (go)",to go,going,go,gone,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 198)",Fácil
"[Inglês] Choose the correct sentence regarding countable/uncountable nouns: ""How much ____ do you have on this case?""",evidences,evidence,an evidence,evidence's 39,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 199)",Médio
"[Inglês] In the text, the expression ""act more quickly"" is closest in meaning to:",respond faster.,respond less.,wait longer.,ignore reports. 40,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 200)",Difícil
"[Direito Penal] No que diz respeito às normativas referentes ao crime, segundo o Decreto-Lei nº 2848/1940, que institui o Código Penal Brasileiro, marque a alternativa CORRETA:","Considera-se praticado o crime no lugar em que ocorreu a ação ou omissão, no todo ou em parte, bem como onde se produziu ou deveria produzir-se o resultado.","A superveniência de causa relativamente independente não exclui a imputação quando, por si só, produziu o resultado; os fatos anteriores, entretanto, imputam-se a quem os praticou.","O crime tentado ocorre quando o agente, voluntariamente, desiste de prosseguir na execução da ação delituosa.","O resultado, de que depende a existência do crime, não é imputável a quem lhe deu causa.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 95)",Difícil
"[Direito Penal] Segundo o Decreto-Lei nº 2848/1940, que institui o Código Penal Brasileiro e tendo em vista as penas aplicáveis no Brasil, assinale a alternativa INCORRETA:","Quando o agente, mediante mais de uma ação ou omissão, pratica dois ou mais crimes da mesma espécie e, pelas condições de tempo, lugar, maneira de execução e outras semelhantes, devem os subsequentes ser havidos como continuação do primeiro.","As penas aplicáveis no Brasil são: privativas de liberdade, restritivas de direitos, e de multa.","Quando o agente for condenado a penas privativas de liberdade cuja soma seja superior à pena máxima aplicada no Brasil, devem elas ser unificadas para atender ao limite de 30 (trinta) anos.","Quando, por acidente ou erro no uso dos meios de execução, o agente, ao invés de atingir a pessoa que pretendia ofender, atinge pessoa diversa, responde como se tivesse praticado o crime contra aquela, atendendo- se às disposições referentes ao erro sobre a pessoa. No caso de ser também atingida a pessoa que o agente pretendia ofender, aplica-se a regra do concurso formal de crimes.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 96)",Fácil
"[Direito Penal] No que diz respeito ao crime e à ilicitude, conforme normatizado no Decreto-Lei nº 2848/1940, que institui o Código Penal Brasileiro, assinale a alternativa CORRETA:","Observados os requisitos necessários à legítima defesa previstos no art. 25, caput, do Código Penal Brasileiro, considera-se também em legítima defesa o agente de segurança pública que repele agressão ou risco de agressão a vítima mantida refém durante a prática de crimes.","Se o indivíduo pratica fato tipificado como crime amparado por alguma excludente de ilicitude, não será punido pelo excesso praticado, seja ele doloso ou culposo.","A doença mental ou desenvolvimento mental incompleto ou retardado, quando o agente era, ao tempo da ação ou da omissão, inteiramente incapaz de entender o caráter ilícito do fato ou de determinar-se de acordo com esse entendimento, excluem a ilicitude da conduta.",O estado de necessidade pode ser alegado mesmo por quem tinha o dever legal de enfrentar o perigo. 31,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 97)",Médio
"[Direito Penal] João e Maria estavam em um motel na região metropolitana de Belo Horizonte, quando, após praticarem relação sexual, observaram uma luz piscando na lateral do quarto. Ao se aproximarem, verificaram que a luz era proveniente de uma câmera que estava voltada para a cama do motel, e que teria filmado a relação sexual dos dois, sem o devido consentimento destes. Diante desse cenário e considerando as normas previstas no Decreto-Lei nº 2848/1940 (Código Penal Brasileiro), João e Maria foram vítimas do crime de:",Violação sexual mediante fraude.,Registro não autorizado da intimidade sexual.,Assédio sexual.,Importunação sexual.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 98)",Difícil
"[Direito Penal] No dia 15/01/2021, João levou seu aparelho celular a uma loja de reparos para consertar a entrada do carregador. Na data prevista para retirada do bem, ao comparecer ao estabelecimento, João foi informado de que um funcionário da loja, que estava na posse legítima do aparelho, havia apropriado-se do bem, ao receber a informação de sua demissão. Diante dos fatos narrados e tendo em vista as normas contidas no Decreto-Lei nº 2848/1940, Código Penal Brasileiro, é CORRETO afirmar que o funcionário da loja de reparos, em tese, praticou o crime de:",Furto.,Roubo.,Estelionato.,Apropriação indébita.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 99)",Fácil
