Frente,Verso
"Quais são os Direitos Sociais expressos no Art. 6º da CF? (Mnemônico: EDU MORA LÁ, SAÚDE TRABALHA ALI, ASSIS PRO SEG PRESO)","Educação, Moradia, Lazer, Saúde, Trabalho, Alimentação, Assistência aos desamparados, Proteção à maternidade/infância, Segurança, Previdência social, Transporte."
Qual é a duração normal do trabalho garantida aos trabalhadores urbanos e rurais?,Não superior a 8 horas diárias e 44 semanais.
"Para turnos ininterruptos de revezamento, qual é a jornada de trabalho padrão (salvo negociação coletiva)?",Jornada de 6 horas.
"Qual é o valor mínimo do adicional de remuneração para atividades penosas, insalubres ou perigosas?","A Constituição garante o adicional, mas o valor/percentual é definido em lei (não está expresso na CF)."
Qual é o valor mínimo do adicional de horas extras?,No mínimo 50% superior à da hora normal.
Qual é o tempo da licença-maternidade e da licença-paternidade garantidas na CF?,Licença-maternidade de 120 dias. Licença-paternidade nos termos fixados em lei (atualmente 5 dias).
É garantida a estabilidade no emprego desde a confirmação da gravidez até quando?,Até 5 meses após o parto.
Qual é o aviso prévio proporcional ao tempo de serviço garantido na CF?,"No mínimo de 30 dias, nos termos da lei."
Aposentados têm direito a votar nas organizações sindicais?,Sim. O aposentado filiado tem direito a votar e ser votado nas organizações sindicais.
É obrigatória a participação dos sindicatos em qual tipo de negociação?,Nas negociações coletivas de trabalho.
"A lei não poderá exigir autorização do Estado para a fundação de sindicato, exceto para qual registro?",O registro no órgão competente.
O que diz o princípio do 'jus soli' adotado como regra pelo Brasil?,"São brasileiros natos os nascidos no Brasil, ainda que de pais estrangeiros, desde que estes NÃO estejam a serviço de seu país."
"Se um casal de franceses, a serviço de uma empresa privada alemã, tiver um filho no Brasil, a criança será o quê?",Brasileiro nato. Os pais não estavam a serviço do próprio país (França).
Quais são as condições para os portugueses com residência permanente no Brasil terem os mesmos direitos dos brasileiros?,"Se houver reciprocidade em favor de brasileiros, serão atribuídos os direitos inerentes ao brasileiro (quase-nacionalidade), salvo os casos previstos na CF."
Quais são os 4 símbolos da República Federativa do Brasil?,"A bandeira, o hino, as armas e o selo nacionais."
Em quais casos será declarada a perda da nacionalidade do brasileiro (EC 131/2023)?,I - Cancelamento de naturalização por sentença judicial (fraude/atentado ao Estado); II - Pedido expresso do cidadão ao governo brasileiro.
O mandato eletivo poderá ser impugnado ante a Justiça Eleitoral em qual prazo e sob qual fundamento?,"No prazo de 15 dias contados da diplomação, instruída a ação com provas de abuso do poder econômico, corrupção ou fraude."
O que é a Inelegibilidade Reflexa?,"São inelegíveis, no território de jurisdição do titular, o cônjuge e os parentes (até o 2º grau ou por adoção) do Presidente, Governador ou Prefeito."
A Inelegibilidade Reflexa aplica-se se o parente já era titular de mandato eletivo e candidato à reeleição?,Não se aplica. O parente pode concorrer à reeleição.
"Para o Presidente, Governador ou Prefeito concorrerem a OUTROS cargos, o que devem fazer?",Devem renunciar aos respectivos mandatos até 6 meses antes do pleito.
É permitida a cassação de direitos políticos no Brasil?,NÃO. É vedada a cassação de direitos políticos.
Quais são as hipóteses de perda ou suspensão de direitos políticos?,1) Cancelamento da naturalização transitado em julgado; 2) Incapacidade civil absoluta; 3) Condenação criminal transitada em julgado (enquanto durarem seus efeitos); 4) Improbidade administrativa; 5) Recusa de cumprir obrigação a todos imposta ou prestação alternativa.
