Pergunta,A,B,C,D,Correta,Comentario,Nivel
[Português] Assinale a única opção CORRET,"Os tipos textuais predominantes no fragmento do texto ""Há alguns anos, namorei um professor de Direito e procurador-geral da União (do tipo com mestrado, doutorado, pós-doutorado e mil especializações) cujo apreço pela língua portuguesa chegava a ser irritante até para mim."" são os tipos: A.Descritivo e injuntivo.",Descritivo e dissertativo.,Narrativo e argumentativo.,Narrativo e descritivo.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 1)",Médio
"[Português] Os pressupostos são informações implícitas que são marcadas lexicalmente na frase. Considerando o contexto, analise os fragmentos do texto ""Mesmo?"" quanto à ocorrência de informações implícitas: I. ""tentava, de todas as formas, mostrar que dominava a última flor do Lácio, vulgo língua portuguesa, mais do que eu."" II. ""Estou cansada de suas ciscadas por aí."" III. ""É mesmo? Fiquei lisonjeada..."" IV. ""Então como ficaria a placa do elevador, Rainha da Língua Portuguesa?"" Há informações implícitas nos itens:","I, II, III e IV.","II e IV, apenas.","I e II, apenas.","II e III, apenas.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 2)",Difícil
[Português] Assinale a opção CORRET,"A situação que dá origem aos acontecimentos (conflito) no conto ""Mesmo?"" é: A.O caráter possessivo dos personagens do conto que culminou no término do namoro.","O emprego inadequado da palavra ""mesmo"" na placa de aviso do elevador.",O domínio linguístico do personagem Maurício e suas falácias.,O acerto gramatical da frase do elevador conforme a norma culta da Língua Portuguesa.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 3)",Fácil
[Português] Assinale a opção CORRET,"""Não me venha, Cíntia Chagas (ele sempre me chamava de Cíntia Chagas durante as brigas),  com  o  seu  discurso  falacioso!""  Considerando  o  contexto  do  texto  ""Mesmo?"",  o  adjetivo  sublinhado (""falacioso"") corresponde semanticamente a: A.Silencioso.",Tenebroso.,Tagarela.,Ardiloso. 4,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 4)",Médio
[Português] Analise as assertivas abaixo e assinale a única opção CORRETA em relação às características do gênero literário conto:,O narrador é sempre o protagonista no conto.,O foco narrativo pode ser de 1ª pessoa ou de 3ª pessoa.,Não há espaço para o uso conotativo da linguagem.,Apresenta vários conflitos básicos.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 5)",Difícil
"[Português] ""E começou a ladainha linguisticamente ortodoxa comum aos discursos que ele ensaiava nas nossas brigas."" Assinale a opção que apresenta a classificação morfológica CORRETA da palavra destacada (""que"") no fragmento acima:",Pronome relativo.,Conjunção subordinativa integrante.,Preposição.,Pronome expletivo.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 6)",Fácil
"[Português] Em relação ao fragmento do texto ""Mesmo?"" abaixo, analise as assertivas e marque V ou F. A seguir, assinale a opção com a sequência CORRETA, de cima para baixo: ""Esse 'mesmo' foi irônico."" ( ) O predicado é nominal e o verbo é intransitivo. ( ) O sujeito da oração é ""esse"". ( ) ""esse"" é um pronome relativo quanto à classificação morfológica. ( ) ""irônico"" é predicativo do objeto e do sujeito ao mesmo tempo. ( ) ""mesmo"" é adjunto adnominal do sujeito.","V, V, F, V, V.","F, F, F, F, F.","F, F, V, F, V.","V, V, V, F, F.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 7)",Médio
"[Português] Analise os períodos abaixo quanto ao emprego da(s) palavra(s) em destaque: I. A discussão foi vista pelos vizinhos, e os mesmos ficaram espantados. II. Cíntia Chagas estava mesmo de roupão na rua. III. De fato, foi Maurício mesmo quem começou a discussão. IV. É isso mesmo! De acordo com a gramática tradicional, o emprego da(s) palavra(s) destacada(s) está CORRETO em:","I e IV, apenas.","I, III e IV, apenas.","I, II, III e IV.","II, III e IV. 5",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 8)",Difícil
[Português] Assinale a única opção CORRET,"Considere os períodos I, II e III, pontuados de duas maneiras diferentes: I. ""Retificadas as placas, pelo síndico será marcada uma reunião [...]"" / ""Retificadas as placas pelo síndico, será marcada uma reunião [...]"" II. ""As placas dos elevadores serão trocadas, de imediato, pelo síndico do prédio."" / ""As placas dos elevadores serão trocadas de imediato pelo síndico do prédio."" III. ""É necessário corrigir essas placas de aviso, que estão com emprego inadequado de palavras."" / ""É necessário corrigir essas placas de aviso que estão com emprego inadequado de palavras."" Com a pontuação diferente, ocorreu alteração de significado em: A.III, somente.","I e II, somente.","I, II e III.","I e III, somente.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 9)",Fácil
"[Português] Identifique a opção na qual as palavras complementam, CORRETAMENTE, os espaços dos períodos abaixo: I. Maurício, ______ você vai hoje à tarde? II. O namorado ______ deu atenção a ela. III. Maurício não fazia outra coisa, ______ criticar. IV. O namoro acabou devido ao ______ - entendido.",onde – se quer – se não – mau.,onde – sequer – senão – mau.,aonde – sequer – senão – mal.,aonde – se quer – se não – mal.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 10)",Médio
