Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Constitucional] Segundo o art. 5º, da Constituição da República Federativa do Brasil de 1988, assinale a alternativa INCORRETA:","A casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial.",A prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada.,"No caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, sendo irrelevante a ocorrência de dano.","A prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 66)",Fácil
"[Constitucional] Com base na Constituição da República Federativa do Brasil de 1988, NÃO é privativo de brasileiro nato o cargo:",de Oficial das Forças Armadas.,de Vice-Presidente da República.,de Ministro de Estado da Defesa.,de Ministro do Superior Tribunal Militar.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 67)",Médio
"[Constitucional] Segundo o art. 5º, da Constituição da República Federativa do Brasil de 1988, assinale a alternativa INCORRETA:","Nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime político ou de opinião, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entorpecentes e drogas afins, na forma da lei.","A lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem.","O preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado. Tendo direito também à identificação dos responsáveis por sua prisão ou por seu interrogatório policial.","Conceder-se-á habeas-corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 68)",Difícil
"[Constitucional] Segundo a Constituição da República Federativa do Brasil de 1988, assinale a alternativa INCORRETA:","Ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei.","Compete aos juízes de direito do juízo militar processar e julgar, singularmente, os crimes militares cometidos contra civis e as ações judiciais contra atos disciplinares militares, cabendo ao Conselho de Justiça, sob a presidência de juiz de direito, processar e julgar os demais crimes militares.","Compete à Justiça Militar estadual processar e julgar os militares dos Estados, nos crimes militares definidos em lei, inclusive naqueles praticados contra a vida de civis, e as ações judiciais contra atos disciplinares militares.","A lei estadual poderá criar, mediante proposta do Tribunal de Justiça, a Justiça Militar estadual, constituída, em primeiro grau, pelos juízes de direito e pelos Conselhos de Justiça e, em segundo grau, pelo próprio Tribunal de Justiça, ou por Tribunal de Justiça Militar nos Estados em que o efetivo militar seja superior a vinte mil integrantes. 21",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 69)",Fácil
"[Constitucional] Considerando a Constituição da República Federativa do Brasil de 1988, julgue as assertivas: I. É garantido ao servidor público civil e militar o direito à livre associação sindical. II. A investidura em cargo ou emprego público depende de aprovação prévia em concurso público de provas ou de provas e títulos, ressalvadas as nomeações para cargo em comissão. III. O militar alistável é elegível; se contar menos de dez anos de serviço, deverá afastar-se da  atividade;  se  contar  mais  de  dez  anos,  será  agregado  pela  autoridade  superior  e,  se  eleito,  passará automaticamente para a inatividade. IV. As polícias militares e os corpos de bombeiros militares subordinam-se hierarquicamente ao Exército. Assinale a alternativa CORRETA:",Todas as assertivas são verdadeiras.,As assertivas I e IV são falsas.,As assertivas I e III são falsas.,Apenas uma assertiva é falsa.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 70)",Médio
"[Constitucional] Anneliese nasceu no Brasil, filha de dois holandeses. Passados pouco mais de cinco anos vivendo no país, mudou-se para a Holanda com a família, onde viveu por mais de treze anos, e, posteriormente, já atingida a maioridade, resolveu retornar ao Brasil. Depois de mais dez anos vivendo em uma pequena cidade do sul do país, Anneliese se casou com um brasileiro, com quem teve dois filhos. Contando, ao todo, mais de quinze anos de residência  no  Brasil,  e  desejando  ficar  no  país  de  modo  permanente,  ela  decidiu  requerer  a  nacionalidade brasileira. Diante disso, Anneliese:",Será considerada brasileira naturalizada.,"Será considerada brasileira naturalizada, mas somente se não tiver nenhuma condenação penal.","Não terá a nacionalidade brasileira, uma vez que os quinze anos de residência exigidos pelo texto constitucional devem ser ininterruptos.",Será considerada brasileira nata.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 71)",Difícil
"[Constitucional] A Constituição da República Federativa do Brasil, promulgada em 05 de outubro de 1988, prevê uma expressa abertura internacional. Analise os itens: I. Prevalência dos direitos humanos. II. Intervenção federal. III. Cooperação entre os povos indígenas. IV. Concessão de asilo político. São princípios previstos no art. 4º da Constituição os dispostos nos itens:","II e III, apenas.","III e IV, apenas.","I, II, III e IV.","I e IV, apenas.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 72)",Fácil
"[Constitucional] Assinale a alternativa INCORRETA quanto ao previsto na Constituição da República Federativa do Brasil de 1988, nos termos do art. 42:","Em razão da atividade militar, não se aplica aos policiais militares e aos bombeiros militares a acumulação de cargos prevista no art. 37, inciso XVI da Constituição.","São instituições militares dos Estados, do Distrito Federal e dos Territórios as Polícias Militares e os Corpos de Bombeiros Militares.",Polícias Militares e Corpos de Bombeiros Militares são instituições organizadas com base na hierarquia e disciplina.,Lei estadual específica disporá sobre o ingresso nas Polícias Militares e Corpos de Bombeiros Militares. 22,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 73)",Médio
"[Constitucional] O art. 37 da Constituição da República Federativa do Brasil de 1988 prevê diversas disposições relacionadas à administração pública. Quanto ao tema, analise: I. O prazo de validade do concurso público será de até dois anos, prorrogável  uma  vez,  por  igual  período.  II.  A  administração  pública  obedecerá  aos  princípios  de  legalidade, impessoalidade, moralidade, publicidade e eficiência. III. É garantido ao servidor militar o direito à livre associação sindical.  IV.  É  vedada  a  vinculação  ou  equiparação  de  quaisquer  espécies  remuneratórias  para  o  efeito  de remuneração de pessoal do serviço público. Estão CORRETAS as assertivas:","I e III, apenas.","II e IV, apenas.","I, II e IV, apenas.","I, II e III, apenas.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 74)",Difícil
"[Constitucional] De acordo com o previsto na Constituição da República Federativa do Brasil de 1988 a respeito dos órgãos de segurança pública e suas atribuições, enumere a 2ª coluna de acordo com a 1ª: (1) Polícias Militares (2) Polícias Civis (3) Polícias Penais (4) Polícia Rodoviária Federal (5) Polícia Federal (6) Corpos de Bombeiros Militares — ( ) Patrulhamento ostensivo das rodovias federais. ( ) Cabe a segurança dos estabelecimentos penais. ( ) Dentre outras, exerce funções de polícia marítima, aeroportuária e de fronteiras. ( ) Além das atribuições definidas em lei, incumbe a execução de atividades de defesa civil. ( ) Cabem a polícia ostensiva e a preservação da ordem pública. ( ) Ressalvada a competência da União, são responsáveis pelas funções de polícia judiciária e apuração de infrações penais, exceto as militares. Marque a alternativa com a sequência CORRETA, de cima para baixo:","1, 3, 4, 2, 5, 6.","4, 1, 3, 2, 6, 5.","5, 3, 4, 6, 1, 2.","4, 3, 5, 6, 1, 2.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 75)",Fácil
