Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Direitos Humanos] De acordo com o previsto na Convenção Americana de Direitos Humanos: Pacto São José da Costa Rica, de 1969, enumere a segunda coluna de acordo com a primeira: (1) Todos os cidadãos devem gozar dos seguintes direitos  e  oportunidades:  a)  de  participar  da  condução  dos  assuntos  públicos,  diretamente  ou  por  meio  de representantes livremente eleitos. (2) Toda pessoa tem direito a que se respeite sua integridade física, psíquica e moral. (3) Ninguém pode ser objeto de ingerências arbitrárias ou abusivas em sua vida privada, em sua família, em seu domicílio ou em sua correspondência, nem de ofensas ilegais à sua honra ou reputação. (4) Não se pode restabelecer a pena de morte nos Estados que a hajam abolido. — ( ) Direito à integridade pessoal ( ) Direitos políticos ( ) Direito à vida ( ) Proteção da honra e da dignidade Marque a alternativa com a sequência CORRETA, de cima para baixo:","1, 2, 3, 4.","3, 1, 4, 2.","4, 2, 3, 1.","2, 1, 4, 3.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 86)",Difícil
"[Direitos Humanos] Em relação à Convenção Americana de Direitos Humanos, também chamada de Pacto de São José da Costa Rica, o texto aprovado em 1969 reconheceu direitos civis e políticos relevantes. Quanto ao direito à liberdade pessoal previsto no art. 7º do referido Pacto, marque a alternativa CORRETA:","Toda pessoa detida ou retida deve ser informada das razões da detenção e notificada, sem demora, da acusação ou das acusações formuladas contra ela.","Crimes classificados como hediondos permitem a detenção ou encarceramento arbitrários, haja vista a gravidade da conduta.","Toda pessoa presa, detida ou retida deve ser conduzida, sem demora, à presença de um juiz ou outra autoridade autorizada por lei a exercer funções judiciais e tem o direito de ser julgada em prazo razoável, porém não será posta em liberdade se a conduta praticada for grave.","Ninguém deve ser detido por dívidas, inclusive em casos de mandado de autoridade judiciária competente expedidos em virtude de inadimplemento de obrigação alimentar.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 87)",Fácil
"[Direitos Humanos] Considerando o que dispõe a Convenção Americana de Direitos Humanos (CADH), também chamada de Pacto de São José da Costa Rica, de 1969, sobre o direito à integridade pessoal previsto no art. 5º da referida norma, analise: I. A pena não pode passar da pessoa do delinquente. II. As penas privativas de liberdade devem ter por finalidade essencial a punição social dos condenados. III. Os menores, quando puderem ser processados, devem ser  separados  dos  adultos  e  conduzidos  a  tribunal  especializado,  com  a  maior  rapidez  possível,  para  seu tratamento. IV. Os processados devem ficar separados dos condenados, salvo em circunstâncias excepcionais, e devem ser submetidos a tratamento adequado à sua condição de pessoas não condenadas. Estão CORRETAS as assertivas:","II e IV, apenas.","I, III e IV, apenas.","I e III, apenas.","III e IV, apenas. 27",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 88)",Médio
"[Direitos Humanos] A Declaração Universal dos Direitos Humanos (DUDH) de 10 de dezembro de 1948 promoveu uma cooperação internacional marcante para garantia de direitos do cidadão. Considerando a literalidade do texto expresso na DUDH, assinale V ou F: ( ) Toda pessoa tem o direito de abandonar o país em que se encontra, incluindo o seu, e o direito de regressar ao seu país. ( ) Todo cidadão do gênero feminino tem direito a que seu Estado promova e apoie programas educacionais para conscientizar o público sobre a dignidade da mulher. ( ) Toda pessoa descendente de povos indígenas e tribais tem direitos sobre os recursos naturais existentes em suas terras. ( ) Toda pessoa tem direito à instrução; a instrução será gratuita, pelo menos nos graus elementares e fundamentais; a instrução elementar será obrigatória; a instrução técnico-profissional será acessível a todos, bem como a instrução superior, esta  baseada  no  mérito.  (  )  Toda  pessoa  tem  deveres  para  com  a  comunidade,  quando  não  for  possível  o desenvolvimento de sua personalidade. A sequência CORRETA, de cima para baixo, é:","V, V, V, V, F.","V, V, V, F, F.","V, F, F, V, F.","F, F, F, V, V.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 89)",Difícil
"[Direitos Humanos] Considerando os aspectos da nacionalidade insculpidos no art. 12 da CF/88 e a Declaração Universal dos Direitos Humanos e a Convenção Americana sobre Direitos Humanos, assinale a alternativa INCORRETA:","No exercício de seus direitos e liberdades, todo ser humano estará sujeito apenas às limitações determinadas pela lei, exclusivamente com o fim de assegurar o devido reconhecimento e respeito dos direitos e liberdades de outrem e de satisfazer as justas exigências da moral, da ordem pública e do bem-estar de uma sociedade democrática.","Todo ser humano tem deveres para com a comunidade, na qual o livre e pleno desenvolvimento de sua personalidade é possível.","Nenhuma disposição da Declaração Universal dos Direitos Humanos pode ser interpretada como o reconhecimento a qualquer Estado, grupo ou pessoa, do direito de exercer qualquer atividade ou praticar qualquer ato destinado à destruição de quaisquer dos direitos e liberdades nela estabelecidos.","Os direitos e liberdades não podem, com exceção das hipóteses previstas na Convenção Americana sobre Direitos Humanos, ser exercidos contrariamente aos objetivos e princípios das Nações Unidas.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 90)",Fácil
"[Direitos Humanos] Conforme  a  Convenção  Americana  sobre  Direitos  Humanos  –  assinada  na  Conferência  Especializada Interamericana  sobre  Direitos  Humanos  (San  Jose  da  Costa  Rica),  em  22  de  novembro  de  1969,  assinale  a alternativa CORRETA:","É reconhecido o direito de reunião pacífica e sem armas, admitindo-se sua restrição somente em situações previstas pela lei e que sejam necessárias, numa sociedade democrática, no interesse da segurança nacional, da segurança ou da ordem públicas, não servindo a moral pública de limitação ao exercício desse direito.",As penas privativas da liberdade devem ter por finalidade essencial a reforma e a readaptação social dos condenados.,"Toda pessoa tem direito ao uso e gozo dos seus bens, não sendo admissível que a lei os subordine ao interesse social.","Toda pessoa que se ache legalmente no território de um Estado tem direito de circular nele e de nele residir em conformidade com as disposições legais, sendo vedada a imposição de restrições, ainda que por motivo de interesse público. 28",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 91)",Médio
"[Direitos Humanos] De acordo com a Declaração Universal dos Direitos Humanos – adotada pela Assembleia Geral das Nações Unidas em 10 de dezembro de 1948, assinale a alternativa CORRETA:","Todo ser humano tem direito a um padrão de vida capaz de assegurar a si e à sua família saúde, bem-estar, inclusive alimentação, vestuário, habitação, garantia da instrução superior baseada em critérios socioeconômicos, cuidados médicos e os serviços sociais indispensáveis e direito à segurança em caso de desemprego, doença invalidez, viuvez, velhice ou outros casos de perda dos meios de subsistência em circunstâncias fora de seu controle.","No exercício de seus direitos e liberdades, todo ser humano estará sujeito apenas às limitações determinadas pela lei, exclusivamente com o fim de assegurar o devido reconhecimento e respeito dos direitos e liberdades de outrem e de satisfazer as justas exigências da moral, da ordem pública e do bem-estar de uma sociedade democrática.","Todo ser humano, como membro da sociedade, tem direito à segurança individual, à realização pelo esforço internacional, pela cooperação nacional e de acordo com a organização e recursos de cada Estado, dos direitos econômicos, sociais e culturais indispensáveis à sua dignidade e ao livre desenvolvimento da sua personalidade.",O casamento não será válido com o livre e pleno consentimento dos nubentes. 29 LEI DE INTRODUÇÃO ÀS NORMAS DO DIREITO BRASILEIRO (LINDB) Volume 1 — questões oficiais CRS/PMMG,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 92)",Difícil
[Direitos Humanos] A Declaração Universal dos Direitos Humanos foi proclamada pela Assembleia Geral das Nações Unidas em:,1945,1948,1950,1966,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 131)",Difícil
"[Direitos Humanos] São reconhecidos, na doutrina, como direitos de primeira geração/dimensão:","Os direitos civis e políticos, ligados à liberdade.","Os direitos sociais, econômicos e culturais.",Os direitos de solidariedade e fraternidade.,Os direitos difusos ao meio ambiente.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 132)",Fácil
[Direitos Humanos] Os direitos de segunda geração/dimensão estão relacionados ao valor:,Liberdade.,Igualdade.,Fraternidade.,Solidariedade.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 133)",Médio
