Frente,Verso
Qual a diferença entre derivação parassintética e derivação prefixal e sufixal juntas?,"Na parassintética, a palavra deixa de existir se retirarmos o prefixo ou o sufixo (ex: a-noit-ecer). Na prefixal e sufixal, a palavra existe sem um deles (ex: des-leal-dade)."
O que é derivação regressiva (ou deverbal)?,"Ocorre quando um verbo perde a terminação, formando um substantivo abstrato que indica ação. Ex: combater -> o combate; atacar -> o ataque."
O que é derivação imprópria?,Ocorre quando a palavra muda de classe gramatical sem sofrer alteração na sua forma. Ex: O 'jantar' está servido (verbo virou substantivo).
"Na composição de palavras, qual a diferença entre Justaposição e Aglutinação?","Justaposição: não há perda de sons/letras (ex: girassol, couve-flor). Aglutinação: há perda de sons/letras (ex: planalto = plano+alto; aguardente = água+ardente)."
O pronome relativo 'CUJO' (e flexões) concorda com qual termo?,Concorda sempre com o termo POSSUÍDO (o que vem depois dele) e nunca admite artigo logo a seguir. Ex: A mulher cuja filha (e não 'cuja a filha').
O pronome relativo 'ONDE' só pode ser usado para retomar que tipo de palavra?,"Só pode retomar lugares físicos. Para situações ou tempo, usa-se 'em que' ou 'no qual'."
Quais são as três posições do pronome oblíquo átono em relação ao verbo?,"Próclise (antes do verbo), Mesóclise (no meio do verbo) e Ênclise (depois do verbo)."
Cite 3 fatores de atração que obrigam o uso da Próclise (pronome antes do verbo).,"Palavras negativas (não, nunca), pronomes relativos (que, qual) e conjunções subordinativas (embora, se, quando)."
Quando é estritamente obrigatório o uso da Mesóclise?,"Quando o verbo estiver no Futuro do Presente ou no Futuro do Pretérito (do indicativo), desde que NÃO haja palavra atrativa exigindo próclise. Ex: Dar-te-ei o livro."
Pode-se iniciar uma frase com pronome oblíquo átono (Ex: 'Me empresta o lápis') segundo a norma-padrão?,Não. É proibido iniciar orações com pronomes oblíquos átonos. O correto é a ênclise: 'Empresta-me o lápis'.
O que expressa o modo Indicativo?,"Expressa um facto certo, uma realidade, uma certeza absoluta."
O que expressa o modo Subjuntivo?,"Expressa uma hipótese, uma dúvida, um desejo ou uma possibilidade. Ex: Se ele 'estudasse'..."
O que expressa o modo Imperativo?,"Expressa uma ordem, um pedido, um conselho ou uma súplica. Ex: 'Faça' silêncio."
"Na voz passiva analítica, qual é a estrutura obrigatória do verbo?","Verbo auxiliar (ser, estar, ficar) + Particípio do verbo principal. Ex: A casa 'foi vendida'."
Como identificar a voz passiva sintética (ou pronominal)?,Presença de verbo transitivo direto (ou VTD e Indireto) na 3ª pessoa acompanhado do pronome apassivador 'SE'. Ex: Vendem-se casas.
Qual a diferença entre particípio regular e irregular (abundância verbal)?,Regular termina em -ado/-ido (usado com ter/haver). Irregular tem terminação curta (usado com ser/estar). Ex: Ele tinha 'imprimido' / O papel estava 'impresso'.
Quais são as classes de palavras invariáveis?,"Advérbio, Preposição, Conjunção e Interjeição."
O que caracteriza a preposição?,"É uma palavra invariável que liga dois termos da oração, subordinando o segundo ao primeiro. Ex: Gosto 'de' bolo."
