Frente,Verso
O Habeas Corpus exige a contratação de um advogado para ser impetrado?,"Não. Qualquer pessoa, física ou jurídica, nacional ou estrangeira, pode impetrar Habeas Corpus em favor de si mesma ou de outrem, sem necessidade de advogado."
Cabe Habeas Corpus contra punições disciplinares militares?,"A regra da Constituição é que NÃO cabe Habeas Corpus em relação a punições disciplinares militares (salvo para questionar a legalidade/competência, segundo jurisprudência do STF)."
Qual é a finalidade do Mandado de Segurança?,"Proteger direito LÍQUIDO E CERTO, não amparado por Habeas Corpus ou Habeas Data, quando o responsável pela ilegalidade for autoridade pública ou agente no exercício de atribuições do Poder Público."
O que é necessário comprovar antes de entrar com um Habeas Data?,O STF exige a comprovação da RECUSA do órgão governamental ou entidade de caráter público em fornecer as informações (ou a demora injustificada). Não se pode entrar direto na Justiça.
Qual é a finalidade do Mandado de Injunção?,É concedido sempre que a FALTA DE NORMA REGULAMENTADORA torne inviável o exercício dos direitos e liberdades constitucionais.
Uma empresa (Pessoa Jurídica) pode propor Ação Popular?,"NÃO. A Constituição é clara: 'qualquer CIDADÃO é parte legítima'. Pessoa jurídica não tem capacidade eleitoral (não é cidadão), logo não pode propor Ação Popular (Súmula 365 STF)."
O autor de uma Ação Popular pagará custas judiciais se perder o processo?,Regra geral: fica ISENTO de custas judiciais e do ônus da sucumbência. Exceção: salvo se comprovada MÁ-FÉ.
"No Tribunal do Júri, quais são os 4 princípios constitucionais garantidos?",1) Plenitude de defesa; 2) Sigilo das votações; 3) Soberania dos veredictos; 4) Competência para o julgamento dos crimes dolosos contra a vida.
A prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente a quem?,Ao JUIZ competente e à FAMÍLIA do preso ou à pessoa por ele indicada.
Quais são as únicas duas hipóteses constitucionais para prender alguém?,1) Em flagrante delito; ou 2) Por ordem escrita e fundamentada de autoridade judiciária competente (salvo transgressão militar ou crime propriamente militar).
O civilmente identificado será submetido a identificação criminal (tirar as impressões digitais/fotos na delegacia)?,"Como regra NÃO. Salvo nas hipóteses previstas em lei (ex: documento rasurado, falso, etc)."
O que a Constituição garante ao preso em relação ao direito ao silêncio?,"O preso será informado de seus direitos, entre os quais o de PERMANECER CALADO, sendo-lhe assegurada a assistência da família e de advogado."
Pode haver prisão civil por dívida no Brasil segundo o STF (Súmula Vinculante 25)?,"A Constituição prevê duas (pensão e depositário infiel), mas o STF definiu que é ILÍCITA a prisão do depositário infiel. Logo, na prática, SÓ PODE para o devedor de pensão alimentícia."
Qual é a regra sobre a pena de banimento no Brasil?,"É absolutamente proibida. Não haverá penas de morte (salvo guerra), de caráter perpétuo, de trabalhos forçados, de banimento e cruéis."
A lei penal retroagirá? Em qual situação?,A regra é a IRRETROATIVIDADE (não retroagirá). A única exceção é para BENEFICIAR o réu.
